,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
20,,,4.0,1.5,0.0,-1.5,0.0,3.0,^,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,1.0,7.0,0.0,20181105143759.0,21074^11077
21,,,4.0,1.5,0.0,-1.5,0.0,3.0,^,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,1.0,7.0,1.0,20181105143821.0,21074^11077
22,,,4.0,1.5,0.0,-1.5,0.0,3.0,^,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,0.0,59.0,1.0,20181105143829.0,21074^11077
23,,,4.0,1.5,0.0,-1.5,0.0,3.0,^,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,0.0,56.0,1.0,20181105143832.0,21074^11077
24,,,4.0,-1.5,0.0,1.5,0.0,3.0,,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,0.0,54.0,1.0,20181105143834.0,21077.0
25,,,4.0,-1.5,0.0,1.5,0.0,3.0,,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,0.0,51.0,0.0,20181105143837.0,21077.0
26,,,4.0,-1.5,0.0,1.5,0.0,3.0,^,,4,6,27.0,27,26,,8,4,5,5,2.0,1,1,57.1,61.5,36.4,76,76,0,1,0.0,51.0,0.0,20181105143837.0,11086^21077
27,,,4.0,-1.5,0.0,1.5,0.0,3.0,1:2^2:2,,4,6,27.0,27,26,5.0,8,4,5,5,2.0,1,1,38.5,61.5,36.4,76,77,0,1,0.0,51.0,0.0,20181105143837.0,21079^21078
28,,,4.0,-1.5,0.0,1.5,0.0,3.0,2:2^,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,51.0,0.0,20181105143837.0,21079^11077
29,,,4.0,-1.5,0.0,1.5,0.0,3.0,2:2^,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,51.0,1.0,20181105143930.0,21079^11077
30,,,4.0,-1.5,0.0,1.5,0.0,3.0,2:2^,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,42.0,1.0,20181105143939.0,21079^11077
31,,,4.0,-1.5,0.0,1.5,0.0,3.0,2:2^,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,34.0,1.0,20181105143947.0,21079^11077
32,,,4.0,-2.5,0.0,2.5,0.0,2.0,,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,28.0,1.0,20181105143953.0,21077.0
33,,,4.0,-2.5,0.0,2.5,0.0,2.0,,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,20.0,1.0,20181105144001.0,21077.0
34,,,4.0,-2.5,0.0,2.5,0.0,1.0,,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,12.0,1.0,20181105144009.0,21077.0
35,,,4.0,-2.5,0.0,2.5,0.0,1.0,,,4,6,27.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,78,0,1,0.0,5.0,0.0,20181105144016.0,21077.0
36,,,4.0,-3.5,0.0,3.5,0.0,1.0,^,,4,6,28.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,80,0,1,0.0,5.0,0.0,20181105144016.0,21074^11077
37,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,1.0,,,4,6,28.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,76,80,0,1,0.0,5.0,0.0,20181105144016.0,11081.0
38,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,1.0,^,,4,6,29.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,5.0,0.0,20181105144016.0,11074^21077
39,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,1.0,^,,4,6,29.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,5.0,1.0,20181105144244.0,11074^21077
40,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,1.0,^,,4,6,29.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,2.0,0.0,20181105144246.0,11074^21077
41,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,1.0,,,4,6,29.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,7.0,0.0,20181105144259.0,21081.0
42,,,4.0,-2.5,0.0,2.5,0.0,1.0,,,4,6,29.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,7.0,1.0,20181105144401.0,21077.0
43,,,4.0,-2.5,0.0,2.5,0.0,1.0,,,4,6,29.0,27,26,6.0,8,4,5,5,2.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,6.0,0.0,20181105144403.0,21077.0
44,,,4.0,-2.5,0.0,2.5,0.0,1.0,^,,4,6,29.0,27,26,6.0,8,4,5,5,3.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,6.0,1.0,20181105144425.0,11086^21077
45,,,4.0,-2.5,0.0,2.5,0.0,1.0,^,,4,6,29.0,27,26,6.0,8,4,5,5,3.0,1,1,42.9,61.5,36.4,78,80,0,1,0.0,3.0,0.0,20181105144427.0,11086^21077
46,,,4.0,-2.5,0.0,2.5,0.0,2.0,1:2,1.0,4,6,29.0,27,26,6.0,8,4,5,5,4.0,1,1,40.0,61.5,36.4,78,80,0,1,0.0,3.0,0.0,20181105144427.0,21078.0
47,,,4.0,-2.5,0.0,2.5,0.0,1.0,2:2^,1.0,4,6,29.0,27,26,7.0,8,4,5,5,4.0,1,1,43.8,61.5,36.4,78,81,0,1,0.0,3.0,0.0,20181105144427.0,21079^11077
48,,,4.0,-2.5,0.0,2.5,0.0,1.0,^,1.0,4,6,29.0,27,26,7.0,8,4,5,5,3.0,1,1,43.8,61.5,36.4,78,81,0,1,0.0,3.0,0.0,20181105144427.0,21086^11077
49,,,4.0,-1.5,0.0,1.5,0.0,1.0,1:2^2:2,1.0,4,6,29.0,27,26,9.0,8,4,5,5,3.0,1,1,60.0,61.5,36.4,79,81,0,1,0.0,3.0,0.0,20181105144427.0,11079^11078
50,,,4.0,-2.5,0.0,2.5,0.0,1.0,,1.0,4,6,29.0,27,26,9.0,8,4,5,5,3.0,1,1,60.0,61.5,36.4,79,81,0,1,0.0,3.0,1.0,20181105145035.0,21077.0
51,,,4.0,-2.5,0.0,2.5,0.0,1.0,,1.0,4,6,29.0,27,26,9.0,8,4,5,5,3.0,1,1,60.0,61.5,36.4,79,81,0,1,0.0,0.0,0.0,20181105145040.0,21077.0
52,,,4.0,-2.5,0.0,2.5,0.0,1.0,,1.0,4,6,29.0,27,26,9.0,8,4,5,5,3.0,1,1,60.0,61.5,36.4,79,81,0,1,0.0,0.0,0.0,20181105145040.0,1084.0
