,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
19,4.0,24.5,0.7692307692307693,-24.5,0.9090909090909091,116.5,0.9090909090909091,116.5,0.7692307692307693,,,5.0,4.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,34,0,1,7.0,25.0,0.0,20181026185641.0,11077.0
20,4.0,24.5,0.7692307692307693,-24.5,0.9090909090909091,116.5,0.8695652173913043,116.5,0.8,,,5.0,4.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,34,0,1,7.0,22.0,0.0,20181026185644.0,11077.0
21,4.0,24.5,0.7692307692307693,-24.5,0.9090909090909091,116.5,0.8695652173913043,116.5,0.8,,,5.0,4.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,34,0,1,7.0,22.0,1.0,20181026185658.0,11077.0
22,4.0,24.5,0.7692307692307693,-24.5,0.9090909090909091,116.5,0.8695652173913043,116.5,0.8,,,5.0,4.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,34,0,1,7.0,22.0,1.0,20181026185659.0,11077.0
23,4.0,24.5,0.7692307692307693,-24.5,0.9090909090909091,116.5,0.8695652173913043,116.5,0.8,,,5.0,4.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,34,0,1,7.0,24.0,1.0,20181026185700.0,11077.0
24,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,118.5,0.8333333333333334,118.5,0.8333333333333334,,^,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,7.0,18.0,1.0,20181026185706.0,11074^21077
25,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,118.5,0.8333333333333334,118.5,0.8333333333333334,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,7.0,16.0,1.0,20181026185708.0,21077.0
26,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,117.5,0.9090909090909091,117.5,0.7692307692307693,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,7.0,7.0,1.0,20181026185716.0,21077.0
27,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,59.0,1.0,20181026185724.0,21077.0
28,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,117.5,0.7692307692307693,117.5,0.9090909090909091,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,53.0,0.0,20181026185730.0,21077.0
29,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,117.5,0.7692307692307693,117.5,0.9090909090909091,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,53.0,1.0,20181026185758.0,21077.0
30,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,117.5,0.7692307692307693,117.5,0.9090909090909091,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,53.0,1.0,20181026185759.0,21077.0
31,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,116.5,1.0,116.5,0.7142857142857143,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,53.0,1.0,20181026185800.0,21077.0
32,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,116.5,0.8333333333333334,116.5,0.8333333333333334,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,44.0,1.0,20181026185808.0,21077.0
33,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,116.5,0.9090909090909091,116.5,0.7692307692307693,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,50.0,1.0,20181026185809.0,11077.0
34,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,116.5,0.8,116.5,0.8695652173913043,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,41.0,1.0,20181026185817.0,11077.0
35,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,116.5,0.7692307692307693,116.5,0.9090909090909091,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,59.0,34,0,1,6.0,39.0,0.0,20181026185820.0,11077.0
36,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,116.5,0.7692307692307693,116.5,0.9090909090909091,,^,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,53.8,40.0,59.0,34,0,1,6.0,39.0,0.0,20181026185828.0,21086^11077
37,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,117.5,0.8333333333333334,117.5,0.8333333333333334,,^,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,53.8,40.0,59.0,34,0,1,6.0,39.0,0.0,20181026185831.0,21086^11077
38,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,117.5,0.8333333333333334,117.5,0.8333333333333334,,1:2,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,50.0,40.0,59.0,34,0,1,6.0,39.0,0.0,20181026185831.0,11078.0
39,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,2:2^,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,59.0,34,0,1,6.0,39.0,1.0,20181026185910.0,11080^21077
40,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,59.0,34,0,1,6.0,39.0,1.0,20181026185911.0,11077.0
41,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,59.0,34,0,1,6.0,38.0,1.0,20181026185912.0,11077.0
42,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,115.5,0.8333333333333334,115.5,0.8333333333333334,,,5.0,4.0,18.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,59.0,34,0,1,6.0,30.0,1.0,20181026185920.0,11077.0
43,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,^,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,6.0,26.0,1.0,20181026185924.0,11074^21077
44,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,6.0,25.0,1.0,20181026185926.0,21077.0
45,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,116.5,0.9090909090909091,116.5,0.7692307692307693,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,6.0,16.0,1.0,20181026185934.0,21077.0
46,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,116.5,0.8333333333333334,116.5,0.8333333333333334,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,6.0,8.0,1.0,20181026185942.0,21077.0
47,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,116.5,0.7692307692307693,116.5,0.9090909090909091,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,6.0,4.0,1.0,20181026185946.0,21077.0
48,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,115.5,0.8333333333333334,115.5,0.8333333333333334,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,5.0,55.0,1.0,20181026185954.0,21077.0
49,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,115.5,0.7692307692307693,115.5,0.9090909090909091,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,5.0,47.0,1.0,20181026190002.0,21077.0
50,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,114.5,0.8333333333333334,114.5,0.8333333333333334,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,5.0,39.0,1.0,20181026190011.0,21077.0
51,4.0,27.5,0.9090909090909091,-27.5,0.7692307692307693,114.5,0.7142857142857143,114.5,1.0,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,5.0,30.0,1.0,20181026190019.0,11077.0
52,4.0,27.5,0.9090909090909091,-27.5,0.7692307692307693,114.5,0.7142857142857143,114.5,1.0,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,5.0,22.0,1.0,20181026190027.0,21077.0
53,4.0,27.5,0.9090909090909091,-27.5,0.7692307692307693,114.5,0.7692307692307693,114.5,0.9090909090909091,,,5.0,4.0,19.0,9.0,7.0,4.0,4,2,0.0,3.0,46.7,40.0,61.0,34,0,1,5.0,16.0,0.0,20181026190034.0,21077.0
54,4.0,27.5,0.9090909090909091,-27.5,0.7692307692307693,114.5,0.7692307692307693,114.5,0.9090909090909091,,^,5.0,4.0,19.0,9.0,7.0,4.0,4,2,1.0,3.0,46.7,40.0,61.0,34,0,1,5.0,16.0,0.0,20181026190043.0,11086^21077
55,4.0,27.5,0.8333333333333334,-27.5,0.8333333333333334,114.5,0.8333333333333334,114.5,0.8333333333333334,,1:2,5.0,4.0,19.0,9.0,7.0,4.0,4,2,1.0,3.0,46.7,40.0,61.0,34,0,1,5.0,16.0,0.0,20181026190045.0,21078.0
56,4.0,27.5,0.7692307692307693,-27.5,0.9090909090909091,114.5,0.9090909090909091,114.5,0.7692307692307693,,1:2^2:2,5.0,4.0,19.0,9.0,7.0,5.0,4,2,1.0,3.0,46.7,45.5,61.0,35,0,1,5.0,16.0,0.0,20181026190144.0,21079^21078
57,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,115.5,0.7692307692307693,115.5,0.9090909090909091,,2:2^,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,5.0,16.0,0.0,20181026190150.0,21079^11077
58,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,115.5,0.7692307692307693,115.5,0.9090909090909091,,2:2^,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,5.0,16.0,1.0,20181026190155.0,21079^11077
59,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,115.5,0.7692307692307693,115.5,0.9090909090909091,,2:2^,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,5.0,15.0,1.0,20181026190155.0,21079^11077
60,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,115.5,0.7692307692307693,115.5,0.9090909090909091,,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,5.0,15.0,1.0,20181026190156.0,11077.0
61,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,5.0,6.0,1.0,20181026190204.0,11077.0
62,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,58.0,1.0,20181026190212.0,11077.0
63,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,45.0,1.0,20181026190215.0,21077.0
64,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,36.0,1.0,20181026190223.0,21077.0
65,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,28.0,1.0,20181026190232.0,21077.0
66,4.0,24.5,0.9090909090909091,-24.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,20.0,1.0,20181026190240.0,21077.0
67,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,18.0,1.0,20181026190242.0,11077.0
68,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,9.0,1.0,20181026190251.0,11077.0
69,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,3.0,0.0,20181026190257.0,11077.0
70,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,3.0,0.0,20181026190305.0,11077.0
71,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,114.5,0.8695652173913043,114.5,0.8,4.0,1:2,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,46.7,50.0,61.0,36,0,1,4.0,3.0,0.0,20181026190306.0,11078.0
72,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,114.5,0.8695652173913043,114.5,0.8,4.0,1:2^2:2,5.0,4.0,19.0,9.0,7.0,6.0,4,2,1.0,3.0,43.8,50.0,61.0,36,0,1,4.0,3.0,0.0,20181026190323.0,11080^11078
73,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,2:2^,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,4.0,3.0,0.0,20181026190337.0,11079^21077
74,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,2:2^,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,4.0,3.0,0.0,20181026190337.0,11079^21077
