,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
15,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,11.0,6.0,5,5,0,0,91.7,75.0,33.0,42,0,1,1.0,45.0,0.0,20181108150703.0,21078.0,0.4166666666666667,1.7
16,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,11.0,7.0,5,5,0,0,91.7,77.8,33.0,43,0,1,1.0,45.0,0.0,20181108150703.0,21079^21077,0.26666666666666666,2.65
17,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,11.0,7.0,5,5,0,0,91.7,77.8,33.0,43,0,1,1.0,45.0,1.0,20181108150858.0,21079^21077,0.26666666666666666,2.65
18,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,11.0,7.0,5,5,0,0,91.7,77.8,33.0,43,0,1,1.0,37.0,1.0,20181108150906.0,21079^21077,0.26666666666666666,2.65
19,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,11.0,7.0,5,5,0,0,91.7,77.8,33.0,43,0,1,1.0,30.0,0.0,20181108150913.0,21079^21077,0.25,2.75
20,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,113.5,0.8333333333333334,113.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,1.0,30.0,0.0,20181108150913.0,11078.0,0.38461538461538464,1.85
21,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,113.5,0.8333333333333334,113.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,1.0,30.0,1.0,20181108150948.0,11078.0,0.38461538461538464,1.85
22,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,113.5,0.8333333333333334,113.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,1.0,30.0,1.0,20181108150953.0,11078.0,0.38461538461538464,1.85
23,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,113.5,0.8333333333333334,113.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,1.0,22.0,1.0,20181108151001.0,11078.0,0.38461538461538464,1.85
24,,3.0,-3.5,0.8,3.5,0.8695652173913043,113.5,0.8333333333333334,113.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,1.0,14.0,1.0,20181108151009.0,11078.0,0.38461538461538464,1.85
25,,3.0,-3.5,0.8,3.5,0.8695652173913043,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,1.0,6.0,1.0,20181108151018.0,11078.0,0.38461538461538464,1.85
26,,3.0,-3.5,0.8,3.5,0.8695652173913043,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,0.0,58.0,1.0,20181108151026.0,11078.0,0.37037037037037035,1.95
27,,3.0,-3.5,0.8,3.5,0.8695652173913043,112.5,0.7142857142857143,112.5,1.0,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,0.0,56.0,0.0,20181108151027.0,11078.0,0.37037037037037035,1.95
28,,3.0,-3.5,0.8,3.5,0.8695652173913043,112.5,0.7142857142857143,112.5,1.0,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,0.0,56.0,1.0,20181108151059.0,11078.0,0.37037037037037035,1.95
29,,3.0,-3.5,0.8,3.5,0.8695652173913043,111.5,0.8333333333333334,111.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,33.0,43,0,1,0.0,53.0,0.0,20181108151102.0,11078.0,0.37037037037037035,1.95
30,,3.0,-4.5,0.8695652173913043,4.5,0.8,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1,2.0,4.0,8.0,12.0,12.0,7.0,5,5,0,0,92.3,77.8,35.0,43,0,1,0.0,53.0,0.0,20181108151102.0,11078.0,0.3448275862068966,2.15
31,,3.0,-4.5,0.8695652173913043,4.5,0.8,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,53.0,1.0,20181108151105.0,11079^21077,0.3448275862068966,2.15
32,,3.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,112.5,0.8333333333333334,112.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,45.0,1.0,20181108151113.0,11079^21077,0.36363636363636365,2.0
33,,3.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,111.5,1.0,111.5,0.7142857142857143,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,37.0,1.0,20181108151121.0,11079^21077,0.35714285714285715,2.05
34,,3.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,29.0,1.0,20181108151129.0,11079^21077,0.3448275862068966,2.15
35,,3.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,21.0,1.0,20181108151137.0,11079^21077,0.3448275862068966,2.15
