,ED,HASA,HASA_ODD,HASH,HASH_ODD,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-12.5,0.9090909090909091,12.5,0.7692307692307693,,,9,4,,16,29,,12,13,1,2,,6,5,,63.2,59.1,71,84,0,1,2.0,35.0,0,20181028234633,11079^11078
1,4.0,-11.5,0.7692307692307693,11.5,0.9090909090909091,2:2^,,9,4,,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,84,0,1,2.0,35.0,0,20181028234650.0,11079^21077
2,4.0,-11.5,0.7692307692307693,11.5,0.9090909090909091,,,9,4,,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,84,0,1,2.0,35.0,1.0,20181028234653.0,21077.0
3,4.0,-11.5,0.7692307692307693,11.5,0.9090909090909091,,,9,4,,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,84,0,1,2.0,26.0,1.0,20181028234701.0,21077.0
4,4.0,-11.5,0.7142857142857143,11.5,1.0,,,9,4,,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,84,0,1,2.0,18.0,1.0,20181028234710.0,21077.0
5,4.0,-11.5,0.7142857142857143,11.5,1.0,,,9,4,,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,84,0,1,2.0,11.0,1.0,20181028234718.0,21095.0
6,4.0,-11.5,0.7142857142857143,11.5,1.0,,,9,4,,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,84,0,1,2.0,9.0,1.0,20181028234720.0,21077.0
7,4.0,-12.5,0.7142857142857143,12.5,1.0,^,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,7.0,1.0,20181028234722.0,21074^11077
8,4.0,-12.5,0.7142857142857143,12.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,7.0,1.0,20181028234722.0,11077.0
9,4.0,-14.5,0.7142857142857143,14.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,56.0,1.0,20181028234733.0,21077.0
10,4.0,-14.5,0.7142857142857143,14.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,47.0,1.0,20181028234741.0,21077.0
11,4.0,-14.5,0.7142857142857143,14.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,40.0,1.0,20181028234748.0,21095.0
12,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,38.0,1.0,20181028234750.0,11077.0
13,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,,6,5,65.0,63.2,59.1,72,86,0,1,2.0,34.0,0.0,20181028234755.0,11077.0
14,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,13.0,12,13,1,2,6.0,6,5,65.0,63.2,59.1,72,86,0,1,2.0,34.0,0.0,20181028234809.0,21086.0
15,4.0,-13.5,0.7142857142857143,13.5,1.0,1:2,,9,4,30.0,16,29,13.0,12,13,1,2,6.0,6,5,65.0,63.2,59.1,72,86,0,1,2.0,34.0,0.0,20181028234809.0,11077.0
16,4.0,-13.5,0.7142857142857143,13.5,1.0,1:2^2:2,,9,4,30.0,16,29,14.0,12,13,1,2,6.0,6,5,66.7,63.2,59.1,73,86,0,1,2.0,34.0,0.0,20181028234830.0,11079^11078
17,4.0,-13.5,0.7142857142857143,13.5,1.0,2:2^,,9,4,30.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,34.0,0.0,20181028234847.0,11079^21077
18,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,34.0,1.0,20181028234901.0,21077.0
19,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,25.0,1.0,20181028234909.0,21077.0
20,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,17.0,1.0,20181028234918.0,21077.0
21,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,16.0,1.0,20181028234919.0,21094.0
22,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,30.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,13.0,1.0,20181028234922.0,21077.0
23,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,31.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,13.0,1.0,20181028234922.0,11077.0
24,4.0,-13.5,0.7142857142857143,13.5,1.0,,,9,4,31.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,74,86,0,1,2.0,4.0,0.0,20181028234931.0,11077.0
25,4.0,-12.5,0.7142857142857143,12.5,1.0,^,,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,4.0,0.0,20181028234936.0,11074^21077
26,4.0,-12.5,0.7142857142857143,12.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,4.0,0.0,20181028234936.0,21077.0
27,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,4.0,0.0,20181028234936.0,11077.0
28,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,4.0,1.0,20181028235017.0,11077.0
29,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,0.0,20181028235019.0,11077.0
30,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,1.0,20181028235032.0,11077.0
31,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,0.0,20181028235033.0,11077.0
32,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,1.0,20181028235033.0,11077.0
33,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,0.0,20181028235034.0,11077.0
34,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,0.0,20181028235035.0,11077.0
35,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,0.0,20181028235040.0,11077.0
36,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,2.0,2.0,1.0,20181028235040.0,11077.0
37,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,0.0,57.0,0.0,20181028235041.0,11077.0
38,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,0.0,57.0,1.0,20181028235107.0,11077.0
39,4.0,-11.5,0.7142857142857143,11.5,1.0,,5.0,9,4,17.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,88,0,1,0.0,48.0,1.0,20181028235115.0,11077.0
40,4.0,-13.5,0.7142857142857143,13.5,1.0,^,4.0,9,4,32.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,90,0,1,0.0,44.0,1.0,20181028235121.0,21074^11077
41,4.0,-13.5,0.7142857142857143,13.5,1.0,,4.0,9,4,32.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,90,0,1,0.0,44.0,1.0,20181028235122.0,11077.0
42,4.0,-13.5,0.7142857142857143,13.5,1.0,,4.0,9,4,32.0,16,29,15.0,12,13,1,2,6.0,6,5,68.2,63.2,59.1,76,90,0,1,0.0,35.0,1.0,20181028235130.0,11077.0
