,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
47,,,,第1节,-2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-2.5,,0.8,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
48,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.87,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
49,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
50,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
51,,,,第1节,-3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-3.5,,0.87,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
52,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.8,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
53,,,,第1节,-2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-2.5,,0.8,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
54,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.87,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
55,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0,
56,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,,,0.0,1,10.0,0.0,0,,21094.0,0.0,0.0,"0.30,0.72"
57,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,,,0.0,1,10.0,30.0,0,,11077.0,0.0,0.0,
58,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,,,0.0,1,10.0,30.0,0,,11075.0,0.0,0.0,"0.72,0.29"
59,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,,,,,,,,16.0,9.0,0.0,1,10.0,23.0,0,,21077.0,0.0,0.0,
60,,,,第1节,-4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-4.5,,0.83,,,,,,,,,16.0,9.0,0.0,1,10.0,23.0,0,,21077.0,0.0,0.0,
61,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,,,,,,,,16.0,9.0,0.0,1,10.0,7.0,0,,21077.0,0.0,0.0,
62,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,,,,,,,,16.0,9.0,0.0,1,10.0,7.0,0,,11086.0,0.0,0.0,
63,,,,第1节,-3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-3.5,,0.8,,,,,,,,,16.0,9.0,0.0,1,10.0,7.0,0,,21077.0,0.0,0.0,
64,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.87,,,,,,,,,16.0,9.0,0.0,1,10.0,6.0,0,,21077.0,0.0,0.0,
65,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.87,,1.0,,,,,,,16.0,9.0,0.0,1,10.0,6.0,0,,11086.0,0.0,0.0,
66,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.83,,1.0,,,,,,,16.0,9.0,0.0,1,10.0,6.0,0,,21077.0,0.0,0.0,
67,,,,第1节,-2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-2.5,,0.83,1:2,1.0,,,,,,,16.0,9.0,0.0,1,10.0,6.0,0,,21078.0,0.0,0.0,
68,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,1:2,1.0,,,4.0,,,80.0,16.0,17.0,0.0,1,10.0,6.0,0,,21079.0,0.0,0.0,"0.21,0.50"
69,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,2:2,1.0,,,4.0,,,80.0,17.0,9.0,0.0,1,10.0,6.0,0,,21078.0,0.0,0.0,"0.21,0.50"
70,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,2:2,1.0,,,5.0,,,83.3,17.0,18.0,0.0,1,10.0,6.0,0,,21079.0,0.0,0.0,"0.21,0.50"
71,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,9.0,0.0,1,10.0,6.0,0,,11077.0,0.0,0.0,
72,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,9.0,1.0,1,10.0,6.0,0,,11077.0,0.0,0.0,
73,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,9.0,1.0,1,10.0,6.0,0,,11077.0,0.0,0.0,
74,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,9.0,0.0,1,10.0,6.0,0,,11077.0,0.0,0.0,
75,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,9.0,0.0,1,2.0,55.0,0,,11077.0,0.0,0.0,
76,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,9.0,0.0,1,2.0,55.0,0,,11074.0,0.0,0.0,"0.94,0.47"
77,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,44.0,0,,21077.0,0.0,0.0,
78,,,,第1节,-3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-3.5,,0.83,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,44.0,0,,21077.0,0.0,0.0,
79,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.83,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,23.0,0,,21077.0,0.0,0.0,
80,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.83,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,23.0,0,,11077.0,0.0,0.0,
81,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.83,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,23.0,0,,11095.0,0.0,0.0,"0.91,0.55"
82,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.87,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,23.0,0,,21077.0,0.0,0.0,
83,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.8,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,12.0,0,,21077.0,0.0,0.0,
84,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.8,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,12.0,0,,21077.0,0.0,0.0,
85,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.8,,1.0,,,5.0,,,83.3,18.0,11.0,0.0,1,2.0,6.0,0,,21077.0,0.0,0.0,
86,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.8,,1.0,,6.0,5.0,,,83.3,18.0,20.0,0.0,1,2.0,6.0,0,,21074.0,0.0,0.0,"0.12,0.49"
87,,,,第1节,3.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,3.5,,0.8,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,2.0,6.0,0,,11077.0,0.0,0.0,
88,,,,第1节,-1.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-1.5,,0.8,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,2.0,6.0,0,,11077.0,0.0,0.0,
89,,,,第1节,1.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,1.5,,0.87,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,2.0,6.0,0,,11077.0,0.0,0.0,
90,,,,第1节,-2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-2.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,2.0,6.0,0,,11077.0,0.0,0.0,
91,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,2.0,6.0,0,,11095.0,0.0,0.0,"0.93,0.51"
92,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,1.0,43.0,0,,21077.0,0.0,0.0,
93,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,1.0,43.0,0,,11077.0,0.0,0.0,
94,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,11.0,0.0,1,1.0,43.0,0,,11075.0,0.0,0.0,"0.67,0.33"
95,,,,第1节,2.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,2.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,1.0,43.0,0,,21077.0,0.0,0.0,
96,,,,第1节,-4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,1.0,43.0,0,,21077.0,0.0,0.0,
97,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,1.0,31.0,0,,21077.0,0.0,0.0,
98,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,1.0,31.0,0,,21095.0,0.0,0.0,"0.11,0.49"
99,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,1.0,3.0,0,,11077.0,0.0,0.0,
100,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,0.0,3.0,0,,11077.0,0.0,0.0,
101,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,0.0,59.0,0,,11077.0,0.0,0.0,
102,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,14.0,0.0,1,0.0,59.0,0,,11074.0,0.0,0.0,"0.90,0.48"
103,,,,第1节,4.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,4.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,59.0,0,,21077.0,0.0,0.0,
104,,,,第1节,-5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,59.0,0,,21077.0,0.0,0.0,
105,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,59.0,0,,21095.0,0.0,0.0,"0.10,0.46"
106,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0,
107,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.8,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0,
108,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.87,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0,
109,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0,
110,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,28.0,0,,11077.0,0.0,0.0,
111,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,28.0,0,,11095.0,0.0,0.0,"0.96,0.58"
112,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,28.0,0,,21077.0,0.0,0.0,
113,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,28.0,0,,11077.0,0.0,0.0,
114,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,16.0,0.0,1,0.0,28.0,0,,11074.0,0.0,0.0,"0.96,0.58"
115,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,18.0,0.0,1,0.0,27.0,0,,21077.0,0.0,0.0,
116,,,,第1节,-7.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-7.5,,0.87,,1.0,,6.0,5.0,,,83.3,20.0,18.0,0.0,1,0.0,27.0,0,,21077.0,0.0,0.0,
117,,,,第1节,7.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,7.5,,0.8,,1.0,,6.0,5.0,,,83.3,20.0,18.0,0.0,1,0.0,1.0,0,,21077.0,0.0,0.0,
118,,,,第1节,7.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,7.5,,0.8,,1.0,,6.0,5.0,,,83.3,20.0,18.0,0.0,1,0.0,1.0,0,,21094.0,0.0,0.0,"0.35,0.55"
119,,,,第1节,-5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-5.5,,0.83,,1.0,,6.0,5.0,,,83.3,20.0,18.0,0.0,1,0.0,1.0,0,,11077.0,0.0,0.0,
120,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,1.0,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,0.0,0.0,0,,1082.0,0.0,0.0,
121,,,,第1节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,1.0,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0,
122,,,,第2节,5.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,5.5,,0.83,1.0,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0,
123,,,第2节,第2节,-6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,-6.5,,0.83,1.0,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0,
124,,,第2节,第2节,6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,6.5,2.0,0.83,,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,10.0,0.0,0,,1088.0,0.0,0.0,
125,,,第2节,第2节,6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,6.5,2.0,0.83,,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,9.0,43.0,0,,21077.0,0.0,0.0,
126,,,第2节,第2节,6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,6.5,2.0,0.83,,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,9.0,43.0,0,,11086.0,0.0,0.0,
127,,,第2节,第2节,6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,6.5,2.0,0.87,,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,9.0,43.0,0,,21077.0,0.0,0.0,
128,,,第2节,第2节,6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,6.5,2.0,0.8,,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,9.0,33.0,0,,21077.0,0.0,0.0,
129,,,第2节,第2节,6.5,9.5,0.83,-9.5,0.83,149.5,0.83,149.5,0.83,6.5,2.0,0.8,,0.0,,6.0,5.0,,0.0,83.3,20.0,18.0,0.0,1,9.0,33.0,0,,11086.0,0.0,0.0,
