,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,第1节,19.5,0.83,-19.5,0.83,166.5,0.83,166.5,0.83,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
1,,,,第1节,19.5,0.83,-19.5,0.83,166.5,0.83,166.5,0.83,,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,1087.0,,0.0,0.0
2,,,,第1节,19.5,0.83,-19.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,1087.0,,0.0,0.0
3,,,,第1节,19.5,0.83,-19.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,11077.0,,0.0,0.0
4,,,,第1节,19.5,0.83,-19.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,21077.0,,0.0,0.0
5,,,,第1节,19.5,0.83,-19.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,11077.0,,0.0,0.0
6,,,,第1节,19.5,0.83,-19.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,21077.0,,0.0,0.0
7,,,,第1节,19.5,0.83,-19.5,0.83,163.5,0.83,162.5,0.83,163.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,11077.0,,0.0,0.0
8,,,,第1节,19.5,0.83,-19.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,11077.0,,0.0,0.0
9,,,,第1节,19.5,0.83,-19.5,0.83,162.5,0.83,161.5,0.83,162.5,1.0,9242182.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180703010347.0,21077.0,,0.0,0.0
