,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
39,,,,,-6.5,0.8,6.5,0.87,157.5,0.83,158.5,0.83,157.5,3,1,1,4,57,57,31,29,3.0,2.0,0.0,0.0,0,7.0,1~GD,26.0,1.0,20180717140302.0,1015,,0.0,0.0
40,,,,,-6.5,0.8,6.5,0.87,157.5,0.83,157.5,0.83,157.5,3,1,1,4,57,57,31,29,3.0,2.0,0.0,0.0,0,7.0,1~GD,18.0,1.0,20180717140310.0,1015,,0.0,0.0
41,,,,,-6.5,0.8,6.5,0.87,159.5,0.83,157.5,0.83,159.5,3,1,1,4,57,57,31,29,3.0,2.0,0.0,0.0,0,7.0,1~GD,18.0,1.0,20180717140310.0,1015,,0.0,0.0
42,,,,,-8.5,0.8,6.5,0.87,159.5,0.83,159.5,0.83,159.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,7.0,1~GD,12.0,1.0,20180717140316.0,1015,,0.0,0.0
43,,,,,-8.5,0.83,8.5,0.87,159.5,0.83,159.5,0.83,-8.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,7.0,1~GD,12.0,1.0,20180717140316.0,1015,,0.0,0.0
44,,,,,-8.5,0.87,8.5,0.83,159.5,0.83,159.5,0.83,8.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,7.0,1~GD,9.0,1.0,20180717140318.0,1015,,0.0,0.0
45,,,,,-8.5,0.87,8.5,0.8,158.5,0.83,159.5,0.83,158.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,7.0,1~GD,9.0,1.0,20180717140318.0,1015,,0.0,0.0
46,,,,,-8.5,0.87,8.5,0.8,158.5,0.8,158.5,0.87,158.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,7.0,1~GD,1.0,1.0,20180717140326.0,1015,,0.0,0.0
47,,,,,-8.5,0.87,8.5,0.8,158.5,0.8,158.5,0.87,158.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140333.0,1015,,0.0,0.0
48,,,,,-8.5,0.87,8.5,0.8,158.5,0.8,158.5,0.87,158.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140336.0,1015,,0.0,0.0
49,,,,,-8.5,0.87,8.5,0.8,159.5,0.8,158.5,0.87,159.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140337.0,1015,,0.0,0.0
50,,,,,-7.5,0.87,8.5,0.8,159.5,0.8,159.5,0.87,159.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140338.0,1015,,0.0,0.0
51,,,,,-7.5,0.83,7.5,0.8,159.5,0.8,159.5,0.87,-7.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140338.0,1015,,0.0,0.0
52,,,,,-7.5,0.83,7.5,0.83,159.5,0.83,159.5,0.87,7.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140338.0,1015,,0.0,0.0
53,,,,,-7.5,0.83,7.5,0.83,158.5,0.83,159.5,0.83,158.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140338.0,1015,,0.0,0.0
54,,,,,-7.5,0.8,7.5,0.87,158.5,0.83,158.5,0.83,158.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140408.0,1015,,0.0,0.0
55,,,,,-7.5,0.8,7.5,0.87,159.5,0.83,158.5,0.83,159.5,3,1,1,4,57,57,31,29,5.0,2.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140408.0,1015,,0.0,0.0
56,,,,,-7.5,0.83,7.5,0.83,159.5,0.83,159.5,0.83,159.5,3,1,1,4,57,57,31,29,5.0,3.0,0.0,0.0,0,6.0,1~GD,54.0,0.0,20180717140425.0,1015,,0.0,0.0
57,,,,,-7.5,0.83,7.5,0.83,159.5,0.83,159.5,0.83,159.5,3,1,1,4,57,57,31,29,5.0,3.0,0.0,0.0,0,6.0,1~GD,54.0,1.0,20180717140427.0,1015,,0.0,0.0
58,,,,,-7.5,0.83,7.5,0.83,158.5,0.83,159.5,0.83,158.5,3,1,1,4,57,57,31,29,5.0,3.0,0.0,0.0,0,6.0,1~GD,54.0,1.0,20180717140428.0,1015,,0.0,0.0
59,,,,,-7.5,0.83,7.5,0.83,158.5,0.83,158.5,0.83,158.5,3,1,1,4,57,57,31,29,5.0,3.0,0.0,0.0,0,6.0,1~GD,46.0,1.0,20180717140436.0,1015,,0.0,0.0
60,,,,,-7.5,0.83,7.5,0.83,160.5,0.83,158.5,0.83,160.5,3,1,1,4,57,57,31,29,5.0,3.0,0.0,0.0,0,6.0,1~GD,46.0,1.0,20180717140436.0,1015,,0.0,0.0
61,,,,,-9.5,0.83,7.5,0.83,160.5,0.83,160.5,0.83,160.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,37.0,1.0,20180717140444.0,1015,,0.0,0.0
62,,,,,-9.5,0.87,9.5,0.83,160.5,0.83,160.5,0.83,-9.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,37.0,1.0,20180717140444.0,1015,,0.0,0.0
63,,,,,-8.5,0.87,9.5,0.8,160.5,0.83,160.5,0.83,9.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,35.0,1.0,20180717140446.0,1015,,0.0,0.0
64,,,,,-8.5,0.8,8.5,0.8,160.5,0.83,160.5,0.83,-8.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,35.0,1.0,20180717140446.0,1015,,0.0,0.0
65,,,,,-8.5,0.8,8.5,0.87,160.5,0.83,160.5,0.83,8.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,35.0,1.0,20180717140446.0,1015,,0.0,0.0
66,,,,,-8.5,0.8,8.5,0.87,159.5,0.83,160.5,0.83,159.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,35.0,1.0,20180717140446.0,1015,,0.0,0.0
67,,,,,-9.5,0.8,8.5,0.87,159.5,0.83,159.5,0.83,159.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,29.0,1.0,20180717140452.0,1015,,0.0,0.0
68,,,,,-9.5,0.87,9.5,0.87,159.5,0.83,159.5,0.83,-9.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,29.0,1.0,20180717140452.0,1015,,0.0,0.0
69,,,,,-9.5,0.87,9.5,0.8,159.5,0.83,159.5,0.83,9.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,29.0,1.0,20180717140452.0,1015,,0.0,0.0
70,,,,,-9.5,0.87,9.5,0.8,158.5,0.83,159.5,0.83,158.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,29.0,1.0,20180717140452.0,1015,,0.0,0.0
71,,,,,-9.5,0.87,9.5,0.8,158.5,0.83,158.5,0.83,158.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,21.0,1.0,20180717140500.0,1015,,0.0,0.0
72,,,,,-9.5,0.87,9.5,0.8,158.5,0.83,158.5,0.83,158.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,15.0,0.0,20180717140506.0,1015,,0.0,0.0
73,,,,,-9.5,0.87,9.5,0.8,158.5,0.83,158.5,0.83,158.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,15.0,0.0,20180717140508.0,1015,,0.0,0.0
74,,,,,-9.5,0.87,9.5,0.8,158.5,0.83,158.5,0.83,158.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,15.0,0.0,20180717140512.0,1015,,0.0,0.0
75,,,,,-9.5,0.87,9.5,0.8,157.5,0.83,158.5,0.83,157.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,15.0,1.0,20180717140524.0,1015,,0.0,0.0
76,,,,,-9.5,0.87,9.5,0.8,157.5,0.83,157.5,0.83,157.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,7.0,1.0,20180717140532.0,1015,,0.0,0.0
77,,,,,-9.5,0.87,9.5,0.8,159.5,0.83,157.5,0.83,159.5,3,1,1,4,57,57,31,29,7.0,3.0,0.0,0.0,0,6.0,1~GD,7.0,1.0,20180717140532.0,1015,,0.0,0.0
78,,,,,-10.5,0.87,9.5,0.8,159.5,0.83,159.5,0.83,159.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,6.0,1~GD,1.0,1.0,20180717140538.0,1015,,0.0,0.0
79,,,,,-10.5,0.83,10.5,0.8,159.5,0.83,159.5,0.83,-10.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,6.0,1~GD,1.0,1.0,20180717140538.0,1015,,0.0,0.0
