,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
19,,,,第2节,-1.5,0.8,1.5,0.87,183.5,0.83,185.5,0.83,-1.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,7.0,17.0,11.0,4.0,6.0,3.0,4.0,2.0,2.0,57.1,85.7,46.0,41.0,0.0,#FFDF1B,1,1.0,38.0,0,,21077.0,0.0,0.0
20,,,,第2节,-1.5,0.8,1.5,0.87,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,7.0,17.0,11.0,4.0,6.0,3.0,4.0,2.0,2.0,57.1,85.7,46.0,41.0,0.0,#FFDF1B,1,1.0,38.0,0,,21077.0,0.0,0.0
21,,,,第2节,-1.5,0.8,1.5,0.87,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,7.0,17.0,11.0,4.0,6.0,3.0,4.0,2.0,3.0,57.1,85.7,46.0,41.0,0.0,#FFDF1B,1,1.0,38.0,0,,21086.0,0.66,1.1
22,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,7.0,17.0,11.0,4.0,6.0,3.0,4.0,2.0,3.0,57.1,85.7,46.0,41.0,0.0,#FFDF1B,1,1.0,38.0,0,,11077.0,0.71,1.0
23,,,,第2节,-1.5,0.87,1.5,0.8,186.5,0.83,186.5,0.83,186.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1:1,,2.0,7.0,17.0,11.0,4.0,6.0,3.0,4.0,2.0,3.0,57.1,85.7,46.0,41.0,0.0,#FFDF1B,1,1.0,38.0,0,,11078.0,0.71,1.0
24,,,,第2节,-1.5,0.87,1.5,0.8,186.5,0.83,186.5,0.83,186.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1:1,,2.0,7.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,42.0,41.0,0.0,#FFDF1B,1,1.0,38.0,0,,11079.0,0.77,0.91
25,,,,第2节,-1.5,0.91,1.5,0.77,186.5,0.83,186.5,0.83,186.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,7.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,46.0,42.0,0.0,#FFDF1B,1,1.0,38.0,0,,21077.0,0.77,0.91
26,,,,第2节,-1.5,0.91,1.5,0.77,186.5,0.83,186.5,0.83,186.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,46.0,49.0,0.0,#FFDF1B,1,1.0,38.0,0,,21075.0,0.8,0.87
27,,,,第2节,-1.5,0.91,1.5,0.77,186.5,0.83,186.5,0.83,186.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,42.0,0.0,#FFDF1B,1,1.0,38.0,0,,11077.0,0.8,0.87
28,,,,第2节,-1.5,0.91,1.5,0.77,186.5,0.83,186.5,0.83,186.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,42.0,0.0,#FFDF1B,1,1.0,22.0,0,,11077.0,0.8,0.87
29,,,,第2节,-1.5,0.87,3.5,0.8,186.5,0.83,186.5,0.83,3.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,42.0,0.0,#FFDF1B,1,1.0,22.0,0,,11077.0,0.8,0.87
30,,,,第2节,-3.5,0.87,3.5,0.8,186.5,0.83,189.5,0.83,-3.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,42.0,0.0,#FFDF1B,1,1.0,22.0,0,,11077.0,0.8,0.87
31,,,,第2节,-3.5,0.87,3.5,0.8,189.5,0.83,189.5,0.83,189.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,17.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,42.0,0.0,#FFDF1B,1,1.0,22.0,0,,11077.0,0.8,0.87
