,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
25,4.0,-21.5,0.0,21.5,0.0,3.0,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,68,89,0,1,2.0,51.0,1.0,20181020135835.0,21077.0
26,4.0,-21.5,0.0,21.5,0.0,3.0,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,68,89,0,1,2.0,43.0,1.0,20181020135843.0,21077.0
27,4.0,-23.5,0.0,23.5,0.0,3.0,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,68,92,0,1,2.0,39.0,1.0,20181020135847.0,21077.0
28,4.0,-23.5,0.0,23.5,0.0,3.0,,,13.0,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,68,92,0,1,2.0,39.0,1.0,20181020135847.0,11077.0
29,4.0,-22.5,0.0,22.5,0.0,3.0,^,,13.0,6,12,22.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,70,92,0,1,2.0,34.0,1.0,20181020135852.0,11074^21077
30,4.0,-22.5,0.0,22.5,0.0,3.0,,,13.0,6,12,22.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,70,92,0,1,2.0,25.0,1.0,20181020135901.0,21077.0
31,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,70,92,0,1,2.0,23.0,1.0,20181020135903.0,11077.0
32,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,70,92,0,1,2.0,14.0,1.0,20181020135912.0,11077.0
33,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,70,92,0,1,2.0,13.0,0.0,20181020135913.0,11077.0
34,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,70,92,0,1,2.0,13.0,0.0,20181020135926.0,11077.0
35,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,,8,8,3,1,3.0,5,2,,72.7,53.3,,70,92,0,1,2.0,13.0,0.0,20181020135927.0,21086.0
36,4.0,-21.5,0.0,21.5,0.0,3.0,1:2,,13.0,6,12,22.0,19,20,,8,8,3,1,3.0,5,2,,72.7,53.3,,70,92,0,1,2.0,13.0,0.0,20181020135928.0,11078.0
37,4.0,-20.5,0.0,20.5,0.0,3.0,1:2^2:2,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,75.0,72.7,53.3,,71,92,0,1,2.0,13.0,0.0,20181020135940.0,11079^11078
38,4.0,-21.5,0.0,21.5,0.0,3.0,2:2^,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,13.0,1.0,20181020135951.0,11080^21077
39,4.0,-20.5,0.0,20.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,13.0,1.0,20181020135952.0,1077.0
40,4.0,-20.5,0.0,20.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,13.0,0.0,20181020135954.0,1077.0
41,4.0,-20.5,0.0,20.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,11.0,0.0,20181020135956.0,1077.0
42,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,11.0,0.0,20181020140011.0,1077.0
43,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,11.0,1.0,20181020140011.0,21077.0
44,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,5.0,1.0,20181020140018.0,21077.0
45,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,1.0,1.0,20181020140022.0,21077.0
46,4.0,-21.5,0.0,21.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,1.0,52.0,1.0,20181020140031.0,21077.0
47,4.0,-21.5,0.0,21.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,1.0,44.0,1.0,20181020140039.0,21077.0
48,4.0,-21.5,0.0,21.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,1.0,42.0,1.0,20181020140041.0,21077.0
49,4.0,-21.5,0.0,21.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,1.0,34.0,1.0,20181020140049.0,21077.0
50,4.0,-21.5,0.0,21.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,1.0,26.0,1.0,20181020140057.0,21077.0
51,4.0,-21.5,0.0,21.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,92,0,1,2.0,11.0,1.0,20181020140100.0,21077.0
52,4.0,-22.5,0.0,22.5,0.0,3.0,^,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,2.0,11.0,1.0,20181020140101.0,21074^11077
53,4.0,-22.5,0.0,22.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,2.0,11.0,1.0,20181020140102.0,11077.0
54,4.0,-22.5,0.0,22.5,0.0,3.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,2.0,2.0,1.0,20181020140110.0,11077.0
55,4.0,-22.5,0.0,22.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,10.0,1.0,20181020140114.0,11077.0
56,4.0,-23.5,0.0,23.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,10.0,1.0,20181020140116.0,21077.0
57,4.0,-23.5,0.0,23.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,1.0,1.0,20181020140125.0,21077.0
58,4.0,-23.5,0.0,23.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,0.0,0.0,20181020140126.0,21077.0
