,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
15,,,,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,42.0,1.0,20181109033712.0,11077.0,3.75,0.15384615384615385
16,,,,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,33.0,1.0,20181109033720.0,11077.0,3.75,0.15384615384615385
17,,,,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,29.0,0.0,20181109033725.0,11077.0,3.75,0.15384615384615385
18,,,,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,29.0,1.0,20181109033735.0,11077.0,3.75,0.15384615384615385
19,,,,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,28.0,1.0,20181109033736.0,11077.0,3.75,0.15384615384615385
20,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,27.0,1.0,20181109033736.0,21077.0,3.4,0.18181818181818182
21,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,202.5,0.8333333333333334,202.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,18.0,1.0,20181109033744.0,21077.0,3.4,0.18181818181818182
22,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,202.5,0.8333333333333334,202.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,10.0,1.0,20181109033753.0,21077.0,3.4,0.18181818181818182
23,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,201.5,0.8333333333333334,201.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,6.0,0.0,20181109033757.0,21077.0,3.4,0.18181818181818182
24,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,201.5,0.8333333333333334,201.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,6.0,1.0,20181109033813.0,21077.0,3.4,0.18181818181818182
25,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,201.5,0.8333333333333334,201.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,5.0,1.0,20181109033813.0,21077.0,3.4,0.18181818181818182
26,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,201.5,0.8333333333333334,201.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,6.0,6.0,1.0,20181109033814.0,21077.0,3.4,0.18181818181818182
27,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,200.5,0.8333333333333334,200.5,0.8333333333333334,,,,,,,7.0,3.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,58.0,0,1,5.0,57.0,1.0,20181109033822.0,21077.0,3.4,0.18181818181818182
28,,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,^,,,7.0,4.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,61.0,0,1,5.0,56.0,1.0,20181109033823.0,21075^11077,2.75,0.25
29,,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,4.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,61.0,0,1,5.0,56.0,1.0,20181109033824.0,11077.0,2.75,0.25
30,,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,4.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,61.0,0,1,5.0,47.0,1.0,20181109033832.0,11077.0,2.75,0.25
31,,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,202.5,0.8333333333333334,202.5,0.8333333333333334,,,,,,,7.0,4.0,18.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,65.0,61.0,0,1,5.0,39.0,1.0,20181109033841.0,11077.0,2.75,0.25
32,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,^,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,37.0,1.0,20181109033842.0,11074^21077,3.0,0.2222222222222222
33,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,29.0,0.0,20181109033850.0,21077.0,3.0,0.2222222222222222
34,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,29.0,1.0,20181109033858.0,21077.0,3.0,0.2222222222222222
35,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,28.0,1.0,20181109033859.0,21077.0,3.0,0.2222222222222222
36,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,27.0,1.0,20181109033900.0,21077.0,3.0,0.2222222222222222
37,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,0.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,27.0,1.0,20181109033909.0,21077.0,3.0,0.2222222222222222
38,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,^,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,1.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,22.0,1.0,20181109033911.0,11086^21077,3.0,0.2222222222222222
39,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,^,,,7.0,4.0,19.0,21.0,8.0,7.0,3,3.0,1.0,1.0,88.9,87.5,67.0,61.0,0,1,5.0,22.0,1.0,20181109033912.0,11086^21077,3.0,0.2222222222222222
40,,,,,3.0,7.5,0.7692307692307693,-7.5,0.9090909090909091,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,1:2,,,7.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,88.9,67.0,62.0,0,1,5.0,22.0,1.0,20181109033928.0,21078.0,2.85,0.23529411764705882
41,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,2:2^,,,7.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,67.0,62.0,0,1,5.0,22.0,1.0,20181109033937.0,21080^11077,3.0,0.2222222222222222
42,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,67.0,62.0,0,1,5.0,22.0,1.0,20181109033938.0,11077.0,3.0,0.2222222222222222
43,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,67.0,62.0,0,1,5.0,21.0,1.0,20181109033938.0,11077.0,3.0,0.2222222222222222
44,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,,,7.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,67.0,62.0,0,1,5.0,13.0,1.0,20181109033947.0,11077.0,3.0,0.2222222222222222
45,,,,,3.0,9.5,0.8,-9.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,^,,,8.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,70.0,62.0,0,1,5.0,11.0,1.0,20181109033948.0,11075^21077,3.75,0.15384615384615385
46,,,,,3.0,9.5,0.8,-9.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,70.0,62.0,0,1,5.0,11.0,1.0,20181109033949.0,21077.0,3.75,0.15384615384615385
47,,,,,3.0,9.5,0.8,-9.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,70.0,62.0,0,1,5.0,2.0,1.0,20181109033957.0,21077.0,3.75,0.15384615384615385
48,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,,,8.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,70.0,62.0,0,1,4.0,58.0,1.0,20181109034001.0,11077.0,4.5,0.125
49,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,,,8.0,4.0,19.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,70.0,62.0,0,1,4.0,57.0,1.0,20181109034002.0,11077.0,4.5,0.125
50,,,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,^,,,8.0,4.0,20.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,54.0,1.0,20181109034006.0,11074^21077,5.25,0.10526315789473684
51,,,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,53.0,1.0,20181109034006.0,21077.0,5.25,0.10526315789473684
