,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
10,,,,第1节,61.5,0.83,-62.5,0.83,137.5,0.83,137.5,0.83,-62.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,41.0,0,,21077.0,
11,,,,第1节,62.5,0.83,-62.5,0.83,137.5,0.83,139.5,0.83,62.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,41.0,0,,21077.0,
12,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.83,139.5,0.83,139.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,41.0,0,,21077.0,
13,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.83,139.5,0.83,139.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,
14,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.83,139.5,0.83,139.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,
15,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.83,139.5,0.83,139.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,21077.0,
16,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.8,139.5,0.87,139.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,11077.0,
17,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.8,139.5,0.87,139.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,21.0,0,,11077.0,
18,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.8,139.5,0.87,139.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1,9.0,GD,21.0,0,,11074.0,"0.89,0.45"
19,,,,第1节,62.5,0.83,-62.5,0.83,139.5,0.8,139.5,0.87,139.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,21.0,0,,21077.0,
20,,,,第1节,62.5,0.83,-63.5,0.83,139.5,0.8,139.5,0.87,-63.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,21.0,0,,21077.0,
21,,,,第1节,63.5,0.83,-63.5,0.83,139.5,0.8,141.5,0.83,63.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,21.0,0,,21077.0,
