,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,-4.5,0.8,4.5,0.87,156.5,0.83,156.5,0.83,,,,,,,0.0,1,10.0,0.0,0,,1083,0.0,1.75
1,,,,第3节,-4.5,0.8,4.5,0.87,156.5,0.83,156.5,0.83,,3.0,,,,,0.0,1,10.0,0.0,0,,1089.0,0.0,1.75
2,,,,第3节,-4.5,0.8,4.5,0.87,154.5,0.83,154.5,0.83,154.5,3.0,,,,,0.0,1,10.0,0.0,0,,21077.0,0.0,1.75
3,,,,第3节,-4.5,0.8,4.5,0.87,154.5,0.83,154.5,0.83,154.5,3.0,,,,,0.0,1,9.0,43.0,0,,21077.0,0.0,1.75
4,,,,第3节,-4.5,0.8,4.5,0.87,154.5,0.83,154.5,0.83,154.5,3.0,0.0,,,,0.0,1,9.0,43.0,0,,21077.0,0.0,1.75
5,,,,第3节,-4.5,0.8,4.5,0.87,154.5,0.83,154.5,0.83,154.5,3.0,0.0,,,,0.0,1,9.0,43.0,0,,21074.0,0.0,1.75
6,,,,第3节,-4.5,0.83,6.5,0.83,154.5,0.83,154.5,0.83,6.5,3.0,0.0,,,,0.0,1,9.0,43.0,0,,11077.0,0.0,1.75
7,,,,第3节,-6.5,0.83,6.5,0.83,154.5,0.83,156.5,0.83,-6.5,3.0,0.0,,,,0.0,1,9.0,43.0,0,,11077.0,0.0,1.75
8,,,,第3节,-6.5,0.83,6.5,0.83,156.5,0.83,156.5,0.83,156.5,3.0,0.0,,,,0.0,1,9.0,43.0,0,,11077.0,0.0,1.75
9,,,,第3节,-6.5,0.83,6.5,0.83,156.5,0.83,156.5,0.83,156.5,3.0,0.0,,,,0.0,1,9.0,43.0,0,,11077.0,0.0,1.75
10,,,,第3节,-6.5,0.83,6.5,0.83,156.5,0.83,156.5,0.83,156.5,3.0,0.0,,42.0,36.0,0.0,1,9.0,35.0,0,,11077.0,0.0,1.75
11,,,,第3节,-6.5,0.83,6.5,0.83,156.5,0.83,156.5,0.83,156.5,3.0,0.0,,42.0,36.0,0.0,1,9.0,35.0,0,,11077.0,0.0,1.75
12,,,,第3节,-6.5,0.83,6.5,0.83,156.5,0.83,156.5,0.83,156.5,3.0,0.0,,42.0,36.0,0.0,1,9.0,4.0,0,,11077.0,0.0,1.75
13,,,,第3节,-6.5,0.83,6.5,0.83,154.5,0.83,154.5,0.83,154.5,3.0,0.0,,42.0,36.0,0.0,1,9.0,4.0,0,,11077.0,0.0,1.75
14,,,,第3节,-6.5,0.83,6.5,0.83,154.5,0.83,154.5,0.83,154.5,3.0,0.0,,42.0,36.0,0.0,1,9.0,4.0,0,,11077.0,0.0,1.75
15,,,,第3节,-6.5,0.83,6.5,0.83,154.5,0.83,154.5,0.83,154.5,3.0,0.0,,42.0,36.0,0.0,1,9.0,4.0,0,,11074.0,0.0,1.75
