,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,,,,,4,4,,16,27,,10,14,,2,3,,3,3,,71.4,60.9,,54,80,0,1,3.0,36.0,1,20181010023631,21077
1,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,,,,,4,4,,16,27,,10,14,,2,3,,3,3,,71.4,60.9,,54,80,0,1,3.0,27.0,1,20181010023640.0,21077
2,,,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,,^,,,4,4,28.0,16,27,,10,14,,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,22.0,1,20181010023646.0,21074^11077
3,,,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,21.0,1,20181010023646.0,11077.0
4,,,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,20.0,0.0,20181010023647.0,11077.0
5,44.0,5.0,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,20.0,0.0,20181010023651.0,11081.0
6,44.0,5.0,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,19.0,0.0,20181010023651.0,11081.0
7,44.0,5.0,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,19.0,0.0,20181010023816.0,21077.0
8,44.0,5.0,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,11.0,0.0,20181010023823.0,21077.0
9,44.0,5.0,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,11.0,1.0,20181010023840.0,21077.0
10,44.0,5.0,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,10.0,1.0,20181010023840.0,11077.0
11,44.0,5.0,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,,,,4,4,28.0,16,27,,10,14,1.0,2,3,,3,3,,71.4,60.9,,54,82,0,1,3.0,8.0,1.0,20181010023843.0,11077.0
