,AM,AS,ED,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
44,,,,,,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,5.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,49.0,1.0,20181108165429.0,21077.0
45,,,,,,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,5.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,48.0,1.0,20181108165429.0,21077.0
46,,,,,,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,5.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,45.0,0.0,20181108165432.0,21077.0
47,,,,,,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,5.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,45.0,1.0,20181108165454.0,21077.0
48,,,,,,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,5.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,41.0,1.0,20181108165459.0,11077.0
49,,,,,,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,5.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,41.0,0.0,20181108165500.0,11077.0
50,,,,,^,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,6.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,41.0,0.0,20181108165503.0,21086^11077
51,,,,,^,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,6.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,41.0,0.0,20181108165504.0,21086^11077
52,,,,,1:2,,2.0,3,1,18.0,19,17,13.0,11,21,,4,2,6.0,2,4,59.1,55.0,77.8,63,65,0,1,2.0,41.0,0.0,20181108165520.0,11078.0
53,,,,,1:2^2:2,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,6.0,2,4,60.9,55.0,77.8,64,65,0,1,2.0,41.0,0.0,20181108165527.0,11079^11078
