,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,0,20180519161721,1082,0.0,0.0
1,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,1.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
2,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,1.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
3,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,1.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
4,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,1.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
5,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,1.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
6,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,1.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
7,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
8,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
9,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
10,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
11,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,0,20180519161721,1090.0,0.0,0.0
12,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,1.0,20180519161955.0,1090.0,0.0,0.0
13,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,10.0,0.0,1.0,20180519161955.0,1090.0,0.0,0.0
14,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,58.0,47.0,0.0,1,9.0,59.0,1.0,20180519161956.0,1090.0,0.0,0.0
15,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,8.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,61.0,47.0,0.0,1,9.0,59.0,1.0,20180519161956.0,11077.0,0.0,0.0
16,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,61.0,47.0,0.0,1,9.0,59.0,1.0,20180519161956.0,11075.0,0.0,0.0
17,,,第4节,14.5,0.83,-14.5,0.83,140.5,0.83,140.5,0.83,,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,53.0,1.0,20180519162001.0,21077.0,0.0,0.0
18,,,第4节,14.5,0.83,-17.5,0.83,140.5,0.83,140.5,0.83,-17.5,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,53.0,1.0,20180519162001.0,21077.0,0.0,0.0
19,,,第4节,17.5,0.83,-17.5,0.83,140.5,0.83,142.5,0.71,17.5,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,53.0,1.0,20180519162001.0,21077.0,0.0,0.0
20,,,第4节,17.5,0.83,-17.5,0.83,142.5,1.0,142.5,0.71,142.5,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,53.0,1.0,20180519162001.0,21077.0,0.0,0.0
21,,,第4节,17.5,0.83,-17.5,0.83,142.5,0.83,142.5,0.83,142.5,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,52.0,1.0,20180519162004.0,21077.0,0.0,0.0
22,,,第4节,17.5,0.83,-17.5,0.83,142.5,0.83,142.5,0.83,142.5,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,52.0,1.0,20180519162004.0,21077.0,0.0,0.0
23,,,第4节,17.5,0.83,-17.5,0.83,142.5,0.83,142.5,0.83,142.5,4.0,,,9.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,61.0,0.0,1,9.0,35.0,1.0,20180519162019.0,21077.0,0.0,0.0
24,,,第4节,17.5,0.83,-17.5,0.83,142.5,0.83,142.5,0.83,142.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,64.0,61.0,0.0,1,9.0,35.0,1.0,20180519162019.0,11075.0,0.0,0.0
25,,,第4节,17.5,0.77,-20.5,0.91,142.5,0.83,142.5,0.83,-20.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,64.0,61.0,0.0,1,9.0,35.0,1.0,20180519162019.0,21077.0,0.0,0.0
26,,,第4节,20.5,0.77,-20.5,0.91,142.5,0.83,145.5,0.83,20.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,64.0,61.0,0.0,1,9.0,35.0,1.0,20180519162019.0,21077.0,0.0,0.0
27,,,第4节,20.5,0.77,-20.5,0.91,145.5,0.83,145.5,0.83,145.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,64.0,61.0,0.0,1,9.0,35.0,1.0,20180519162019.0,21077.0,0.0,0.0
28,,,第4节,20.5,0.77,-20.5,0.91,145.5,0.83,145.5,0.83,145.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,64.0,0.0,1,9.0,35.0,1.0,20180519162019.0,21077.0,0.0,0.0
29,,,第4节,20.5,0.77,-20.5,0.91,145.5,0.83,145.5,0.83,145.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,64.0,0.0,1,9.0,34.0,1.0,20180519162021.0,21077.0,0.0,0.0
30,,,第4节,20.5,0.77,-20.5,0.91,145.5,0.71,145.5,1.0,145.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,64.0,0.0,1,9.0,34.0,1.0,20180519162021.0,11077.0,0.0,0.0
31,,,第4节,20.5,0.77,-20.5,0.91,145.5,0.71,145.5,1.0,145.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,64.0,0.0,1,9.0,19.0,1.0,20180519162034.0,11077.0,0.0,0.0
32,,,第4节,20.5,0.8,-20.5,0.87,144.5,0.71,144.5,1.0,144.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,64.0,0.0,1,9.0,19.0,1.0,20180519162034.0,11077.0,0.0,0.0
33,,,第4节,20.5,0.8,-20.5,0.87,144.5,0.71,144.5,1.0,144.5,4.0,,,10.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,64.0,0.0,1,9.0,11.0,1.0,20180519162043.0,11077.0,0.0,0.0
34,,,第4节,20.5,0.8,-20.5,0.87,144.5,0.71,144.5,1.0,144.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,67.0,64.0,0.0,1,9.0,11.0,1.0,20180519162043.0,11075.0,0.0,0.0
35,,,第4节,20.5,0.8,-20.5,0.87,144.5,0.71,144.5,1.0,144.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,11.0,1.0,20180519162043.0,21077.0,0.0,0.0
36,,,第4节,20.5,0.87,-22.5,0.8,144.5,0.71,144.5,1.0,-22.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,11.0,1.0,20180519162043.0,21077.0,0.0,0.0
37,,,第4节,22.5,0.87,-22.5,0.8,144.5,0.71,146.5,0.83,22.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,11.0,1.0,20180519162043.0,21077.0,0.0,0.0
38,,,第4节,22.5,0.87,-22.5,0.8,146.5,0.83,146.5,0.83,146.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,11.0,1.0,20180519162043.0,21077.0,0.0,0.0
39,,,第4节,22.5,0.87,-22.5,0.8,146.5,0.83,146.5,0.83,146.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,11.0,1.0,20180519162047.0,21077.0,0.0,0.0
40,,,第4节,22.5,0.87,-22.5,0.8,146.5,0.83,146.5,0.83,146.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,11.0,0.0,20180519162047.0,21077.0,0.0,0.0
41,,,第4节,22.5,0.87,-22.5,0.8,146.5,0.83,146.5,0.83,146.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,0.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,1.0,0.0,20180519162053.0,21077.0,0.0,0.0
42,,,第4节,22.5,0.87,-22.5,0.8,146.5,0.83,146.5,0.83,146.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,1.0,0.0,76.9,63.2,47.0,67.0,0.0,1,9.0,1.0,0.0,20180519162053.0,11086.0,0.0,0.0
43,,,第4节,22.5,0.87,-22.5,0.8,146.5,0.83,146.5,0.83,146.5,4.0,,,11.0,3.0,12.0,13.0,10,12.0,4.0,4.0,1.0,0.0,76.9,63.2,47.0,67.0,1.0,1,9.0,1.0,0.0,20180519162053.0,21077.0,0.0,0.0
