,AM,AS,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,10,8,,17,20,,11,4,,1,-1,,4,9,,55.0,80.0,,75,68,0,1,1.0,53.0,0,20181108164820,21081
1,,,,^1:1^,10,8,,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,75,68,0,1,1.0,53.0,1.0,20181108164956.0,21077^21080^11077
2,,,,^1:1^,10,8,,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,75,68,0,1,1.0,52.0,1.0,20181108164956.0,21077^21080^11077
3,,,,^1:1^,10,8,,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,75,68,0,1,1.0,51.0,0.0,20181108164959.0,21077^21080^11077
4,,,,^1:1^,10,8,,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,75,68,0,1,1.0,51.0,1.0,20181108165008.0,21077^21080^11077
5,,,,^1:1^,10,8,,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,75,68,0,1,1.0,50.0,1.0,20181108165009.0,21077^21080^11077
6,,,,^1:1^,10,8,,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,75,68,0,1,1.0,48.0,1.0,20181108165016.0,21077^21080^11077
7,,,,^,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,47.0,1.0,20181108165016.0,11074^21077
8,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,45.0,1.0,20181108165018.0,21077.0
9,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,41.0,0.0,20181108165022.0,21077.0
10,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,41.0,0.0,20181108165023.0,21077.0
11,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,40.0,0.0,20181108165023.0,21077.0
12,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,40.0,0.0,20181108165026.0,21077.0
13,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,31.0,0.0,20181108165034.0,21077.0
14,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,28.0,0.0,20181108165034.0,21077.0
15,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,27.0,0.0,20181108165038.0,21077.0
16,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,27.0,1.0,20181108165046.0,21077.0
17,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,26.0,1.0,20181108165047.0,21077.0
18,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,20.0,0.0,20181108165052.0,21077.0
19,,,,,10,8,18.0,17,20,,11,4,,1,-1,,4,9,66.7,55.0,80.0,,77,68,0,1,1.0,20.0,0.0,20181108165113.0,21077.0
