,AM,AS,CU,DC,ED,MD,PG,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,UC,VC
13,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,4.0,4.0,2.0,0,1,8.0,11.0,0.0,20180919101923.0,,21077.0
14,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,4.0,4.0,2.0,0,1,8.0,11.0,1.0,20180919102116.0,,21077.0
15,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,4.0,4.0,2.0,0,1,8.0,0.0,0.0,20180919102116.0,,21077.0
16,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,4.0,4.0,2.0,0,1,8.0,0.0,1.0,20180919102142.0,,21077.0
17,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,3.0,4.0,3.0,0,1,8.0,0.0,1.0,20180919102142.0,,11077.0
18,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,3.0,4.0,3.0,0,1,7.0,40.0,0.0,20180919102142.0,,11077.0
19,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,3.0,4.0,3.0,0,1,7.0,40.0,1.0,20180919102208.0,,11077.0
20,,,,,,4.0,,0.0,2.0,0.0,6.0,0.0,0.0,6.0,4.0,3.0,0,1,7.0,40.0,1.0,20180919102208.0,,11074.0
21,,,,,,4.0,,0.0,2.0,0.0,6.0,0.0,0.0,6.0,6.0,3.0,0,1,7.0,40.0,1.0,20180919102208.0,,21077.0
22,,,,,,4.0,,0.0,2.0,0.0,6.0,0.0,0.0,4.0,6.0,4.0,0,1,7.0,40.0,1.0,20180919102208.0,,11077.0
23,,,,,,4.0,,0.0,2.0,0.0,6.0,0.0,0.0,4.0,6.0,4.0,0,1,7.0,40.0,1.0,20180919102208.0,,21077.0
24,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0,1,7.0,40.0,1.0,20180919102208.0,,21074.0
25,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,7.0,6.0,7.0,0,1,7.0,40.0,1.0,20180919102208.0,,21077.0
26,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,7.0,6.0,7.0,0,1,6.0,15.0,0.0,20180919102208.0,,21077.0
27,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,7.0,6.0,7.0,0,1,6.0,15.0,1.0,20180919102351.0,,21077.0
28,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,8.0,6.0,7.0,0,1,6.0,15.0,1.0,20180919102351.0,,21077.0
29,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,8.0,6.0,8.0,0,1,6.0,15.0,1.0,20180919102351.0,,21077.0
30,,,,,,4.0,,0.0,1.0,0.0,6.0,0.0,0.0,9.0,6.0,9.0,0,1,6.0,15.0,1.0,20180919102351.0,,21077.0
31,,,,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,8.0,8.0,9.0,0,1,6.0,15.0,1.0,20180919102351.0,,11074.0
32,,,,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,8.0,9.0,0,1,6.0,15.0,1.0,20180919102351.0,,11077.0
33,,,,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,8.0,10.0,0,1,6.0,15.0,1.0,20180919102351.0,,11077.0
34,,,,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,8.0,10.0,0,1,5.0,5.0,0.0,20180919102351.0,,11077.0
35,44.0,5.0,"Time Out, At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3",,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,8.0,10.0,0,1,5.0,5.0,1.0,20180919102531.0,"Time Out, At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3",11077.0
36,44.0,5.0,"Time Out, At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3",,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,8.0,10.0,0,1,5.0,3.0,0.0,20180919102531.0,"Time Out, At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3",11077.0
37,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,8.0,11.0,0,1,5.0,3.0,0.0,20180919102531.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
38,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,8.0,11.0,0,1,5.0,3.0,1.0,20180919102558.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
39,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,8.0,11.0,0,1,4.0,55.0,0.0,20180919102558.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
40,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,8.0,11.0,0,1,4.0,55.0,1.0,20180919102630.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
41,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,8.0,11.0,0,1,4.0,55.0,1.0,20180919102630.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
42,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,12.0,8.0,12.0,0,1,4.0,55.0,1.0,20180919102630.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
43,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,12.0,8.0,12.0,0,1,4.0,42.0,0.0,20180919102630.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
44,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,12.0,8.0,12.0,0,1,4.0,42.0,1.0,20180919102652.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
