,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
19,,,4.0,12.5,0.9523809523809523,-12.5,0.8,203.5,1.0,203.5,0.7692307692307693,8.0,,1.0,12,7.0,26.0,30.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,3.0,19.0,1.0,20181103041053.0,21077.0
20,,,4.0,12.5,1.0,-12.5,0.7692307692307693,203.5,0.8333333333333334,203.5,0.9090909090909091,8.0,,1.0,12,7.0,26.0,30.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,3.0,12.0,1.0,20181103041100.0,21094.0
21,,,4.0,12.5,1.0,-12.5,0.7692307692307693,203.5,0.8333333333333334,203.5,0.9090909090909091,8.0,,1.0,12,7.0,26.0,30.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,3.0,12.0,1.0,20181103041101.0,21077.0
22,,,4.0,12.5,1.0,-12.5,0.7692307692307693,202.5,0.9523809523809523,202.5,0.8,8.0,,1.0,12,7.0,26.0,30.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,3.0,5.0,1.0,20181103041107.0,21094.0
23,,,4.0,13.5,1.05,-13.5,0.7407407407407407,202.5,0.9523809523809523,202.5,0.8,5.0,,1.0,12,7.0,26.0,30.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,56.0,1.0,20181103041116.0,11077.0
24,,,4.0,14.5,0.7692307692307693,-14.5,1.0,202.5,0.9523809523809523,202.5,0.8,4.0,,1.0,12,7.0,26.0,30.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,52.0,1.0,20181103041120.0,11094.0
25,,,4.0,13.5,0.7407407407407407,-13.5,1.05,202.5,0.9523809523809523,202.5,0.8,6.0,^,1.0,12,7.0,26.0,31.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,52.0,1.0,20181103041120.0,21077.0
26,,,4.0,13.5,0.7407407407407407,-13.5,1.05,202.5,0.9523809523809523,202.5,0.8,6.0,,1.0,12,7.0,26.0,31.0,13,6.0,2.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,42.0,0.0,20181103041130.0,11077.0
27,44.0,5.0,4.0,13.5,0.7407407407407407,-13.5,1.05,202.5,0.9523809523809523,202.5,0.8,6.0,,1.0,12,7.0,26.0,31.0,13,6.0,1.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,42.0,0.0,20181103041133.0,11081.0
28,,,4.0,13.5,0.7407407407407407,-13.5,1.05,202.5,0.9523809523809523,202.5,0.8,6.0,,1.0,12,7.0,26.0,31.0,13,6.0,1.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,42.0,0.0,20181103041310.0,11077.0
29,,,4.0,13.5,0.7407407407407407,-13.5,1.05,202.5,0.9523809523809523,202.5,0.8,6.0,,1.0,12,7.0,26.0,31.0,13,6.0,1.0,1,4.0,1.0,61.9,54.5,101,87,0,1,2.0,42.0,1.0,20181103041310.0,11077.0
