,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721075418,,,0.0,0.0
1,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721075418,,,0.0,0.0
2,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721080221.0,,,0.0,0.0
3,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,20180721080221.0,,,0.0,0.0
4,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,20180721080221.0,,,0.0,0.0
5,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,20180721080221.0,,,0.0,0.0
6,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
7,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
8,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
9,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
10,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
11,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
12,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
13,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721080306.0,,,0.0,0.0
14,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721081048.0,,,0.0,0.0
15,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721081048.0,,,0.0,0.0
16,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721081109.0,,,0.0,0.0
17,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,0.0,1,10.0,1~GD,0.0,0,20180721081109.0,11077.0,,0.0,0.0
18,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721081110.0,11077.0,,0.0,0.0
19,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721081110.0,11077.0,,0.0,0.0
20,,,,,9.5,0.83,-9.5,0.83,167.5,0.83,167.5,0.83,,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,56.0,1.0,20180721081115.0,11077.0,,0.0,0.0
21,,,,,9.5,0.83,-9.5,0.83,166.5,0.83,167.5,0.83,166.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,56.0,1.0,20180721081115.0,11077.0,,0.0,0.0
22,,,,,9.5,0.83,-9.5,0.83,166.5,0.83,166.5,0.83,166.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,47.0,1.0,20180721081124.0,11077.0,,0.0,0.0
23,,,,,9.5,0.83,-9.5,0.83,165.5,0.83,166.5,0.83,165.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,47.0,1.0,20180721081124.0,11077.0,,0.0,0.0
24,,,,,9.5,0.83,-9.5,0.83,165.5,0.83,165.5,0.83,165.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,39.0,1.0,20180721081132.0,11077.0,,0.0,0.0
25,,,,,9.5,0.83,-9.5,0.83,165.5,0.83,165.5,0.83,165.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,39.0,1.0,20180721081132.0,11077.0,,0.0,0.0
