,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
11,,上半场,3.5,0.87,-3.5,0.87,95.5,0.91,95.5,0.83,95.5,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
12,,上半场,3.5,0.87,-3.5,0.83,95.5,0.91,95.5,0.83,95.5,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
13,,上半场,3.5,0.91,-1.5,0.83,95.5,0.91,95.5,0.83,-1.5,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
14,,上半场,1.5,0.91,-1.5,0.83,95.5,0.91,95.5,0.83,1.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,11075.0,1.1,0.71
15,,上半场,1.5,0.91,-1.5,0.83,95.5,0.91,95.5,0.83,1.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
16,,上半场,1.5,0.91,-1.5,0.83,99.5,0.87,99.5,0.87,99.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
17,,上半场,1.5,0.91,-1.5,0.87,99.5,0.87,99.5,0.87,99.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
18,,上半场,1.5,0.87,-3.5,0.87,99.5,0.87,99.5,0.87,-3.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
19,,上半场,3.5,0.87,-3.5,0.87,99.5,0.87,102.5,0.83,3.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.5,0.56
20,,上半场,3.5,0.87,-3.5,0.87,102.5,0.91,102.5,0.83,102.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.5,0.56
21,,上半场,3.5,0.87,-3.5,0.83,102.5,0.91,102.5,0.83,102.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.5,0.56
22,,上半场,3.5,0.91,-1.5,0.83,102.5,0.91,102.5,0.83,-1.5,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.5,0.56
23,,上半场,1.5,0.91,-1.5,0.83,102.5,0.91,102.5,0.83,1.5,1.0,,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1,18.0,GD,0.0,1.0,,21075.0,1.1,0.71
24,,上半场,1.5,0.91,-1.5,0.83,102.5,0.91,102.5,0.83,1.5,1.0,,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.1,0.71
25,,上半场,1.5,0.91,-1.5,0.83,102.5,0.91,102.5,0.83,1.5,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1,18.0,GD,0.0,1.0,,11075.0,1.1,0.71
26,,上半场,1.5,0.91,-1.5,0.83,102.5,0.91,102.5,0.83,1.5,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
27,,上半场,1.5,0.91,-1.5,0.83,106.5,0.87,106.5,0.87,106.5,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
28,,上半场,1.5,0.91,-1.5,0.87,106.5,0.87,106.5,0.87,106.5,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
29,,上半场,1.5,0.87,-3.5,0.87,106.5,0.87,106.5,0.87,-3.5,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
30,,上半场,3.5,0.87,-3.5,0.87,106.5,0.87,106.5,0.87,3.5,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,1,18.0,GD,0.0,1.0,,21075.0,1.5,0.56
31,,上半场,3.5,0.87,-3.5,0.87,106.5,0.87,106.5,0.87,3.5,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
32,,上半场,3.5,0.87,-3.5,0.87,109.5,0.87,109.5,0.87,109.5,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
33,,上半场,3.5,0.87,-3.5,0.83,109.5,0.87,109.5,0.87,109.5,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
