,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,5.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,60.0,52.0,0,1,2.0,49.0,1,20180919185210,11077,5.0,0.1111111111111111
1,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,162.5,0.8695652173913043,162.5,0.8,,,,,5.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,60.0,52.0,0,1,2.0,40.0,1,20180919185218.0,11077,5.0,0.1111111111111111
2,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,,5.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,60.0,52.0,0,1,2.0,32.0,1,20180919185227.0,11077,5.25,0.10526315789473684
3,,3.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,165.5,0.8,165.5,0.8695652173913043,9.0,,,,6.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,63.0,52.0,0,1,2.0,26.0,1,20180919185234.0,11075.0,7.5,0.05
4,,3.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,164.5,0.8695652173913043,164.5,0.8,9.0,,,,6.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,63.0,52.0,0,1,2.0,22.0,1,20180919185237.0,21077.0,6.75,0.06666666666666667
5,,3.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,9.0,,,,6.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,63.0,52.0,0,1,2.0,17.0,0.0,20180919185243.0,21077.0,6.75,0.06666666666666667
6,,3.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,9.0,,,,6.0,3.0,15.0,17.0,15,9.0,4,5,5.0,5.0,83.3,90.0,63.0,52.0,0,1,2.0,17.0,0.0,20180919185247.0,11086.0,6.75,0.06666666666666667
7,,3.0,11.5,0.8,-11.5,0.8695652173913043,165.5,0.8333333333333334,165.5,0.8333333333333334,9.0,,1:2,,6.0,3.0,15.0,17.0,15,9.0,4,5,6.0,5.0,83.3,90.0,63.0,52.0,0,1,2.0,17.0,0.0,20180919185248.0,21078.0,6.5,0.07142857142857142
8,,3.0,10.5,0.8695652173913043,-10.5,0.8,166.5,0.8,166.5,0.8695652173913043,9.0,,1:2^2:2,,6.0,3.0,15.0,17.0,15,10.0,4,5,6.0,5.0,83.3,90.9,63.0,53.0,0,1,2.0,17.0,0.0,20180919185312.0,21079^21078,6.0,0.08333333333333333
9,,3.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,166.5,0.9090909090909091,166.5,0.7692307692307693,9.0,,2:2,,6.0,3.0,15.0,17.0,15,11.0,4,5,6.0,5.0,83.3,91.7,63.0,54.0,0,1,2.0,17.0,0.0,20180919185327.0,21079.0,5.0,0.1111111111111111
