,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,第3节,43.5,0.77,-43.5,0.91,139.5,0.83,139.5,0.83,,,,,1.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,54.0,23.0,0.0,1,7.0,45.0,0,,21077
1,,,,第3节,43.5,0.77,-43.5,0.91,139.5,0.83,139.5,0.83,,,,,1.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,54.0,23.0,0.0,1,7.0,45.0,0,,21077
2,,,,第3节,43.5,0.77,-43.5,0.91,139.5,0.83,139.5,0.83,,,,,1.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,54.0,23.0,0.0,1,7.0,45.0,0,,21077
3,,,,第3节,43.5,0.77,-43.5,0.91,139.5,0.83,139.5,0.83,,,,,1.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,54.0,23.0,0.0,1,7.0,45.0,0,,21077
4,,,,第3节,43.5,0.77,-43.5,0.91,139.5,0.83,139.5,0.83,,,,,1.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,54.0,23.0,0.0,1,7.0,17.0,0,,11077.0
5,,,,第3节,43.5,0.83,-43.5,0.83,137.5,0.83,137.5,0.83,137.5,,,,1.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,54.0,23.0,0.0,1,7.0,17.0,0,,11077.0
6,,,,第3节,43.5,0.83,-43.5,0.83,137.5,0.83,137.5,0.83,137.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,57.0,23.0,0.0,1,7.0,17.0,0,,11075.0
7,,,,第3节,43.5,0.83,-43.5,0.83,137.5,0.83,137.5,0.83,137.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,7.0,17.0,0,,21077.0
8,,,,第3节,43.5,0.83,-43.5,0.83,137.5,0.83,137.5,0.83,137.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,56.0,0,,21077.0
9,,,,第3节,43.5,0.83,-45.5,0.83,137.5,0.83,137.5,0.83,-45.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,56.0,0,,21077.0
10,,,,第3节,45.5,0.83,-45.5,0.83,137.5,0.83,139.5,0.83,45.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,56.0,0,,21077.0
11,,,,第3节,45.5,0.83,-45.5,0.83,139.5,0.83,139.5,0.83,139.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,56.0,0,,21077.0
12,,,,第3节,45.5,0.83,-45.5,0.83,139.5,0.83,139.5,0.83,139.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,48.0,0,,11077.0
13,,,,第3节,45.5,0.8,-46.5,0.87,139.5,0.83,139.5,0.83,-46.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,48.0,0,,11077.0
14,,,,第3节,46.5,0.8,-46.5,0.87,139.5,0.8,139.5,0.87,46.5,,,,2.0,0.0,8.0,2.0,2.0,3.0,5,5.0,3.0,2.0,25.0,50.0,23.0,57.0,0.0,1,6.0,48.0,0,,21077.0
