,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-6.5,0.0,6.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,56.0,0,20180919184515,21077
1,4.0,-6.5,0.0,6.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,56.0,1.0,20180919184606.0,21077
2,4.0,-6.5,0.0,6.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,50.0,0.0,20180919184611.0,21077
3,4.0,-6.5,0.0,6.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,50.0,0.0,20180919184612.0,21077
4,4.0,-6.5,0.0,6.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,50.0,1.0,20180919184624.0,21077
5,4.0,-5.5,0.0,5.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,50.0,1.0,20180919184625.0,11077.0
6,4.0,-5.5,0.0,5.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,41.0,1.0,20180919184633.0,11077.0
7,4.0,-6.5,0.0,6.5,0.0,,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,37.0,1.0,20180919184637.0,21077.0
8,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,29.0,1.0,20180919184645.0,21077.0
9,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,21.0,1.0,20180919184653.0,21077.0
10,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,13.0,1.0,20180919184702.0,21077.0
11,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,6.0,0.0,20180919184709.0,21077.0
12,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,6.0,0.0,20180919184720.0,21077.0
13,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,18.0,0.0,20180919184725.0,21077.0
14,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,17.0,1.0,20180919184737.0,21077.0
15,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,8.0,1.0,20180919184746.0,21077.0
16,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,0.0,1.0,20180919184755.0,21077.0
17,4.0,-6.5,0.0,6.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,0.0,0.0,20180919184756.0,21077.0
18,4.0,-5.5,0.0,5.5,0.0,1.0,,8,14,27,23,,8,11,4,2,,1,2,,72.7,84.6,,92,98,0,1,0,3.0,0.0,20180919184812.0,21077.0
19,4.0,-6.5,0.0,6.5,0.0,1.0,^,8,14,27,23,,8,11,4,2,2.0,1,2,,72.7,84.6,,92,98,0,1,0,3.0,0.0,20180919184819.0,11086^21077
20,4.0,-6.5,0.0,6.5,0.0,1.0,1:2,8,14,27,23,,8,11,4,2,2.0,1,2,,72.7,84.6,,92,98,0,1,0,3.0,0.0,20180919184821.0,21078.0
21,4.0,-7.5,0.0,7.5,0.0,1.0,1:2^2:2,8,14,27,23,12.0,8,11,4,2,2.0,1,2,85.7,72.7,84.6,99.0,92,99,0,1,0,3.0,0.0,20180919184825.0,21079^21078
22,4.0,-7.5,0.0,7.5,0.0,1.0,2:2^,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,3.0,0.0,20180919184828.0,21079^11077
23,4.0,-7.5,0.0,7.5,0.0,1.0,2:2^,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,3.0,1.0,20180919184831.0,21079^11077
24,4.0,-7.5,0.0,7.5,0.0,1.0,2:2^,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,2.0,1.0,20180919184831.0,21079^11077
25,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,2.0,1.0,20180919184832.0,11077.0
26,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184835.0,11077.0
27,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184838.0,11077.0
28,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,11077.0
29,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
30,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
31,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
