,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
17,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,32.0,1.0,20180519004215.0,11077.0,0.0,0.0
18,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,32.0,1.0,20180519004215.0,11077.0,0.0,0.0
19,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,24.0,1.0,20180519004220.0,11077.0,0.0,0.0
20,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,24.0,0.0,20180519004220.0,11077.0,0.0,0.0
21,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,22.0,0.0,20180519004223.0,11077.0,0.0,0.0
22,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,22.0,0.0,20180519004223.0,21086.0,0.0,0.0
23,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,22.0,1.0,20180519004238.0,11077.0,0.0,0.0
24,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,22.0,1.0,20180519004238.0,11077.0,0.0,0.0
25,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,21.0,1.0,20180519004239.0,11077.0,0.0,0.0
26,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,21.0,1.0,20180519004239.0,11075.0,0.0,0.0
27,,,,第1节,,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,9.0,GD,21.0,1.0,20180519004239.0,21077.0,0.0,0.0
28,,,,第1节,-15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,9.0,GD,21.0,1.0,20180519004239.0,21077.0,0.0,0.0
