,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,0.83,0.83
1,,,,第1节,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,1.0,,,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.83,0.83
2,,,,第1节,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,1.0,,,,,0.0,1,10.0,GD,0.0,0,,11077.0,0.83,0.83
3,,,,第1节,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,1.0,,,,,0.0,1,9.0,GD,55.0,0,,21077.0,0.83,0.83
4,,,,第1节,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,1.0,,,,,0.0,1,9.0,GD,55.0,0,,21094.0,0.83,0.83
5,,,,第1节,1.5,0.77,-1.5,0.91,150.5,0.83,150.5,0.83,150.5,1.0,,,,,0.0,1,9.0,GD,55.0,0,,11077.0,0.83,0.83
6,,,,第1节,1.5,0.77,-1.5,0.91,150.5,0.83,150.5,0.83,150.5,1.0,,,,,0.0,1,9.0,GD,41.0,0,,11077.0,0.83,0.83
7,,,,第1节,1.5,0.77,-1.5,0.91,150.5,0.83,150.5,0.83,150.5,1.0,,,,,0.0,1,9.0,GD,41.0,0,,11077.0,0.83,0.83
8,,,,第1节,1.5,0.77,-1.5,0.91,150.5,0.83,150.5,0.83,150.5,1.0,,,,,0.0,1,9.0,GD,32.0,0,,11077.0,0.83,0.83
9,,,,第1节,1.5,0.77,-1.5,0.91,150.5,0.83,150.5,0.83,150.5,1.0,,,,,0.0,1,9.0,GD,32.0,0,,11095.0,0.83,0.83
10,,,,第1节,1.5,0.77,-1.5,0.91,149.5,0.83,149.5,0.83,149.5,1.0,,,,,0.0,1,9.0,GD,32.0,0,,21077.0,0.83,0.83
11,,,,第1节,1.5,0.77,-1.5,0.91,149.5,0.83,149.5,0.83,149.5,1.0,,,,,0.0,1,9.0,GD,24.0,0,,11077.0,0.83,0.83
12,,,,第1节,1.5,0.77,-1.5,0.91,148.5,0.83,148.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,24.0,0,,21077.0,0.83,0.83
13,,,,第1节,1.5,0.77,-1.5,0.91,148.5,0.83,148.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,24.0,0,,21095.0,0.83,0.83
14,,,,第1节,1.5,0.77,-1.5,0.91,148.5,0.83,148.5,0.83,148.5,1.0,,,,,0.0,1,8.0,GD,58.0,0,,11077.0,0.83,0.83
15,,,,第1节,1.5,0.77,-1.5,0.91,146.5,0.83,146.5,0.83,146.5,1.0,,,,,0.0,1,8.0,GD,58.0,0,,11077.0,0.83,0.83
16,,,,第1节,1.5,0.77,-1.5,0.91,146.5,0.83,146.5,0.83,146.5,1.0,,,,,0.0,1,8.0,GD,56.0,0,,11077.0,0.83,0.83
17,,,,第1节,1.5,0.77,-1.5,0.91,146.5,0.83,146.5,0.83,146.5,1.0,,,,,0.0,1,8.0,GD,56.0,0,,11074.0,0.83,0.83
18,,,,第1节,1.5,0.77,-1.5,0.91,146.5,0.83,146.5,0.83,146.5,1.0,,,0.0,2.0,0.0,1,8.0,GD,33.0,0,,21077.0,0.83,0.83
