,AM,AS,ED,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
11,,,,,^,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,84.8,75.0,83.9,92,91,0,1,1.0,14.0,0.0,20181010043517.0,21086^11077
12,,,,,^,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,84.8,75.0,83.9,92,91,0,1,1.0,14.0,0.0,20181010043518.0,21086^11077
13,,,,,1:2,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,84.8,75.0,83.9,92,91,0,1,1.0,14.0,0.0,20181010043519.0,11078.0
14,,,,,1:2^2:2,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.0,75.0,83.9,92,91,0,1,1.0,14.0,0.0,20181010043528.0,11080^11078
15,,,,,2:2^,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,91,0,1,1.0,14.0,0.0,20181010043545.0,11079^21077
16,,,,,2:2^,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,91,0,1,1.0,14.0,1.0,20181010043548.0,11079^21077
17,,,,,2:2^,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,91,0,1,1.0,13.0,1.0,20181010043549.0,11079^21077
18,,,,,,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,91,0,1,1.0,13.0,1.0,20181010043550.0,21077.0
19,,,,,,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,91,0,1,1.0,4.0,1.0,20181010043558.0,21077.0
20,,,,,,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,91,0,1,0.0,56.0,1.0,20181010043606.0,21077.0
21,,,,,,10,11,,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,55.0,1.0,20181010043608.0,21077.0
22,,,,,^,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,53.0,0.0,20181010043610.0,21074^11077
23,,,,,^,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,53.0,1.0,20181010043611.0,21074^11077
24,,,,,^,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,53.0,1.0,20181010043612.0,21074^11077
25,,,,,,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,51.0,1.0,20181010043613.0,11077.0
26,,,,,,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,42.0,1.0,20181010043622.0,11077.0
27,,,,,,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,41.0,1.0,20181010043622.0,11077.0
28,,,,,,10,11,16.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,93,93,0,1,0.0,34.0,1.0,20181010043629.0,11077.0
29,,,,,^,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,33.0,1.0,20181010043630.0,11074^21077
30,,,,,^,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,33.0,1.0,20181010043635.0,11074^21077
31,,,,,^,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,33.0,1.0,20181010043642.0,11074^21077
32,,,,,,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,33.0,1.0,20181010043643.0,21077.0
33,,,,,,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,21.0,1.0,20181010043650.0,21077.0
34,,,,,,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,17.0,0.0,20181010043654.0,21077.0
35,,,,,,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,17.0,0.0,20181010043704.0,21077.0
36,,,,,1:2,10,11,18.0,17,15,28.0,27,26,,2,1,7.0,7,6,73.7,75.0,83.9,95,93,0,1,0.0,17.0,0.0,20181010043705.0,21078.0
37,,,,,1:2^2:2,10,11,18.0,17,15,29.0,27,26,,2,1,7.0,7,6,85.3,75.0,83.9,95,94,0,1,0.0,17.0,0.0,20181010043724.0,21079^21078
38,,,,,2:2^,10,11,18.0,17,15,30.0,27,26,,2,1,7.0,7,6,85.7,75.0,83.9,95,95,0,1,0.0,17.0,0.0,20181010043740.0,21079^11077
39,44.0,5.0,,,,10,11,18.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,95,95,0,1,0.0,17.0,0.0,20181010043745.0,11081.0
