,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,12.5,0.0,-12.5,0.0,,,,2,6,,21,15,18,6,,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,37.0,0,20180917104915,11077^21081
1,,,4.0,12.5,0.0,-12.5,0.0,,,,2,6,,21,15,18,6,,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,37.0,0,20180917105025.0,11077^11081
2,,,4.0,12.5,0.0,-12.5,0.0,,,,2,6,,21,15,18,6,,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,37.0,1.0,20180917105043.0,11077.0
3,,,4.0,12.5,0.0,-12.5,0.0,,,,2,6,,21,15,18,6,,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,28.0,1.0,20180917105051.0,11077.0
4,44.0,5.0,4.0,12.5,0.0,-12.5,0.0,,,,2,6,,21,15,18,6,,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,37.0,0.0,20180917105059.0,11081.0
5,44.0,5.0,4.0,12.5,0.0,-12.5,0.0,,^,,2,6,,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,37.0,0.0,20180917105103.0,11077^11081
6,44.0,5.0,4.0,12.5,0.0,-12.5,0.0,,^,,2,6,,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,39.0,0.0,20180917105150.0,11077^11081
7,,,4.0,12.5,0.0,-12.5,0.0,,,,2,6,,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,39.0,1.0,20180917105200.0,11077.0
8,,,4.0,11.5,0.0,-11.5,0.0,,,,2,6,,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,,66,54,0,1,1.0,30.0,1.0,20180917105209.0,21077.0
9,,,4.0,10.5,0.0,-10.5,0.0,,,,2,6,16.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,56.0,66,56,0,1,1.0,19.0,1.0,20180917105219.0,11077.0
10,,,4.0,10.5,0.0,-10.5,0.0,,,,2,6,16.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,56.0,66,56,0,1,1.0,18.0,1.0,20180917105220.0,11077.0
11,,,4.0,10.5,0.0,-10.5,0.0,,,,2,6,16.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,56.0,66,56,0,1,1.0,9.0,1.0,20180917105228.0,11077.0
12,,,4.0,11.5,0.0,-11.5,0.0,1.0,,,2,6,22.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,68.0,68,56,0,1,0.0,51.0,1.0,20180917105247.0,21077.0
13,,,4.0,11.5,0.0,-11.5,0.0,1.0,,,2,6,22.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,68.0,68,56,0,1,0.0,42.0,1.0,20180917105256.0,21077.0
14,,,4.0,12.5,0.0,-12.5,0.0,1.0,,,2,6,22.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,68.0,68,56,0,1,0.0,42.0,1.0,20180917105257.0,11077.0
15,,,4.0,12.5,0.0,-12.5,0.0,1.0,,,2,6,22.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,68.0,68,56,0,1,0.0,33.0,1.0,20180917105305.0,11077.0
16,,,4.0,12.5,0.0,-12.5,0.0,1.0,,,2,6,22.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,68.0,68,56,0,1,0.0,33.0,1.0,20180917105307.0,11077.0
17,,,4.0,13.5,0.0,-13.5,0.0,1.0,,,2,6,23.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,70.0,70,56,0,1,0.0,26.0,1.0,20180917105314.0,21077.0
18,,,4.0,13.5,0.0,-13.5,0.0,1.0,,,2,6,23.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,70.0,70,56,0,1,0.0,24.0,0.0,20180917105315.0,21077.0
19,,,4.0,13.5,0.0,-13.5,0.0,1.0,,,2,6,23.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,70.0,70,56,0,1,0.0,24.0,0.0,20180917105320.0,11086.0
20,,,4.0,13.5,0.0,-13.5,0.0,1.0,,,2,6,23.0,21,15,18,6,1.0,2,0,,3,6,66.7,60.0,70.0,70,56,0,1,0.0,24.0,0.0,20180917105324.0,11086.0
21,,,4.0,13.5,0.0,-13.5,0.0,1.0,,1.0,2,6,23.0,21,15,18,6,1.0,2,0,4.0,3,6,66.7,60.0,70.0,70,56,0,1,0.0,29.0,0.0,20180917105330.0,11086.0
22,,,4.0,13.5,0.0,-13.5,0.0,1.0,,1.0,2,6,23.0,21,15,18,6,1.0,2,0,4.0,3,6,66.7,60.0,70.0,70,56,0,1,0.0,31.0,1.0,20180917105350.0,21077.0
23,,,4.0,14.5,0.0,-14.5,0.0,1.0,,1.0,2,6,23.0,21,15,18,6,1.0,2,0,4.0,3,6,66.7,60.0,70.0,70,56,0,1,0.0,12.0,1.0,20180917105408.0,11077.0
24,,,4.0,14.5,0.0,-14.5,0.0,1.0,,1.0,2,6,23.0,21,15,18,6,1.0,2,0,4.0,3,6,66.7,60.0,70.0,70,56,0,1,0.0,4.0,1.0,20180917105416.0,11077.0
