,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,KI,MD,MS,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
10,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
11,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
12,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,"#FFDF1B,#022857,#FFDF1B,#022857,#C40010,#0046A8,#3D4A4E",0.0,,9242213.0,,,,,,,,,,,,,,,,0.0,#FFDF1B,1,10.0,,0.0,0,,,,1.7,0.47,
13,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,"#BFFFBF,#F0F0F0,#F0F0F0,#F0F0F0,#C40010,#0046A8,#3D4A4E",0.0,,9242213.0,,,,,,,,,,,,,,,,0.0,#BFFFBF,1,10.0,,0.0,0,,,,1.7,0.47,
14,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,"#BFFFBF,#F0F0F0,#F0F0F0,#F0F0F0,#C40010,#0046A8,#3D4A4E",1.0,,9242213.0,,,,,,,,,,,,,,,,0.0,#BFFFBF,1,10.0,,0.0,0,,,,1.7,0.47,
15,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,"#BFFFBF,#F0F0F0,#F0F0F0,#F0F0F0,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#BFFFBF,1,10.0,,0.0,0,,1087.0,,1.7,0.47,
16,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.91,164.5,0.83,,"#BFFFBF,#F0F0F0,#F0F0F0,#F0F0F0,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#BFFFBF,1,9.0,GD,48.0,0,,11077.0,,1.7,0.47,
17,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.83,164.5,0.91,,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",0.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,48.0,0,,21077.0,,1.7,0.47,
18,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.83,164.5,0.91,,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",0.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,48.0,0,,21077.0,,1.7,0.47,
19,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.83,164.5,0.91,,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,48.0,0,,21077.0,,1.7,0.47,
20,,,,第1节,4.5,0.87,-4.5,0.87,164.5,0.83,164.5,0.91,,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,29.0,0,,11077.0,,1.7,0.47,
21,,,,第1节,4.5,0.87,-4.5,0.87,162.5,0.87,162.5,0.87,162.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,29.0,0,,11077.0,,1.7,0.47,
22,,,,第1节,4.5,0.87,-4.5,0.87,162.5,0.87,162.5,0.87,162.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,29.0,0,,11094.0,,1.7,0.47,"0.75,0.71"
23,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,29.0,0,,21077.0,,1.7,0.47,
24,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,13.0,0,,21077.0,,0.0,0.0,
25,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,13.0,0,,21094.0,,0.0,0.0,"0.28,0.54"
26,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,4.0,0,,11077.0,,0.0,0.0,
27,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,4.0,0,,11077.0,,0.0,0.0,
28,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,4.0,0,,11094.0,,1.7,0.47,"0.81,0.32"
29,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,8.0,GD,49.0,0,,21077.0,,1.7,0.47,
30,,,,第1节,4.5,0.87,-4.5,0.87,159.5,0.87,159.5,0.87,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,8.0,GD,49.0,0,,21077.0,,1.7,0.47,
31,,,,第1节,4.5,0.87,-4.5,0.87,159.5,0.87,159.5,0.87,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,8.0,GD,47.0,0,,11077.0,,0.0,0.0,
32,,,,第1节,4.5,0.87,-4.5,0.87,159.5,0.83,159.5,0.91,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,8.0,GD,47.0,0,,11077.0,,1.7,0.47,
33,,,,第1节,4.5,0.87,-4.5,0.87,159.5,0.83,159.5,0.91,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,8.0,GD,47.0,0,,11077.0,,1.7,0.0,
34,,,,第1节,4.5,0.87,-5.5,0.91,159.5,0.83,159.5,0.91,-5.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,,0.0,#0A0A0A,1,8.0,GD,47.0,0,,11074.0,,1.7,0.47,"0.75,0.48"
35,,,,第1节,4.5,0.87,-5.5,0.91,159.5,0.83,159.5,0.91,-5.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.7,0.47,
36,,,,第1节,5.5,0.83,-5.5,0.91,159.5,0.83,160.5,0.87,5.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.7,0.47,
37,,,,第1节,5.5,0.83,-5.5,0.91,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.7,0.47,
38,,,,第1节,5.5,0.83,-5.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.75,0.45,
39,,,,第1节,5.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,-4.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.75,0.45,
40,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,161.5,0.83,4.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.75,0.45,
41,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.91,161.5,0.83,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,35.0,0,,21077.0,,1.75,0.45,
42,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.91,161.5,0.83,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,21.0,0,,21077.0,,1.75,0.45,
43,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.91,161.5,0.83,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,#0A0A0A,1,8.0,GD,21.0,0,,21074.0,,1.75,0.45,"0.32,0.69"
44,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.91,161.5,0.83,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,#0A0A0A,1,8.0,GD,21.0,0,,11077.0,,1.75,0.45,
45,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.91,161.5,0.83,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,#0A0A0A,1,8.0,GD,6.0,0,,11077.0,,1.7,0.47,
46,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.91,161.5,0.83,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,#0A0A0A,1,8.0,GD,6.0,0,,21086.0,,1.7,0.47,
47,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,#0A0A0A,1,8.0,GD,6.0,0,,11077.0,,1.7,0.47,
48,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,#0A0A0A,1,8.0,GD,6.0,0,,11094.0,,1.7,0.47,"0.60,0.67"
49,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,#0A0A0A,1,8.0,GD,2.0,0,,21077.0,,0.0,0.0,
50,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,#0A0A0A,1,8.0,GD,2.0,0,,21074.0,,0.0,0.0,"0.26,0.57"
51,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,8.0,GD,2.0,0,,11077.0,,0.0,0.0,
52,,,,第1节,4.5,0.91,-3.5,0.83,160.5,0.87,160.5,0.87,-3.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,8.0,GD,2.0,0,,11077.0,,0.0,0.0,
53,,,,第1节,3.5,0.91,-3.5,0.83,160.5,0.87,161.5,0.87,3.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,8.0,GD,2.0,0,,11077.0,,0.0,0.0,
54,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,8.0,GD,2.0,0,,11077.0,,0.0,0.0,
55,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,48.0,0,,11077.0,,0.0,0.0,
56,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,48.0,0,,11077.0,,0.0,0.0,
57,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,37.0,0,,11077.0,,0.0,0.0,
58,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,37.0,0,,11095.0,,0.0,0.0,"0.67,0.75"
59,,,,第1节,3.5,0.87,-3.5,0.87,160.5,0.91,160.5,0.83,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,37.0,0,,21077.0,,0.0,0.0,
60,,,,第1节,3.5,0.87,-3.5,0.87,160.5,0.91,160.5,0.83,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,31.0,0,,21077.0,,0.0,0.0,
61,,,,第1节,3.5,0.87,-3.5,0.87,160.5,0.91,160.5,0.83,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,31.0,0,,11086.0,,0.0,0.0,
62,,,,第1节,3.5,0.87,-3.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,31.0,0,,21077.0,,0.0,0.0,
63,,,,第1节,3.5,0.87,-3.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,31.0,0,,21095.0,,0.0,0.0,"0.32,0.68"
64,,,,第1节,3.5,0.87,-3.5,0.87,160.5,0.87,160.5,0.87,160.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,19.0,0,,11077.0,,0.0,0.0,
65,,,,第1节,3.5,0.91,-3.5,0.83,159.5,0.87,159.5,0.87,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,19.0,0,,11077.0,,0.0,0.0,
66,,,,第1节,3.5,0.91,-3.5,0.83,159.5,0.87,159.5,0.87,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,19.0,0,,11094.0,,0.0,0.0,"0.71,0.57"
67,,,,第1节,3.5,0.91,-3.5,0.83,159.5,0.87,159.5,0.87,159.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,0.0,0,,21077.0,,0.0,0.0,
68,,,,第1节,3.5,0.87,-3.5,0.87,157.5,0.91,157.5,0.83,157.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,0.0,0,,21077.0,,0.0,0.0,
69,,,,第1节,3.5,0.87,-3.5,0.87,157.5,0.91,157.5,0.83,157.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,#0A0A0A,1,7.0,GD,0.0,0,,11077.0,,1.5,0.56,
70,,,,第1节,3.5,0.87,-3.5,0.87,157.5,0.91,157.5,0.83,157.5,"#2B2B2B,#BFFFBF,#BFFFBF,#2B2B2B,#C40010,#0046A8,#3D4A4E",1.0,1.0,9242213.0,,1.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,#0A0A0A,1,7.0,GD,0.0,0,,11075.0,,0.0,0.0,"0.60,0.47"
