,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
18,,,4.0,-2.5,1.0,2.5,0.7692307692307693,187.5,1.0,187.5,0.7692307692307693,13.0,,9,11.0,18.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,83,86,0,1,3.0,46.0,1.0,20181111034252.0,11077.0,0.5263157894736842,1.6
19,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,189.5,0.8,189.5,0.9523809523809523,13.0,^,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,42.0,1.0,20181111034256.0,11074^21077,0.6896551724137931,1.15
20,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,189.5,0.8,189.5,0.9523809523809523,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,42.0,1.0,20181111034257.0,21077.0,0.6896551724137931,1.15
21,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,188.5,0.8695652173913043,188.5,0.8695652173913043,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,33.0,1.0,20181111034305.0,21077.0,0.6666666666666666,1.2
22,,,4.0,-1.5,1.05,1.5,0.7407407407407407,187.5,0.9523809523809523,187.5,0.8,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,24.0,1.0,20181111034314.0,21077.0,0.6060606060606061,1.35
23,,,4.0,-1.5,1.0,1.5,0.7692307692307693,187.5,0.8333333333333334,187.5,0.9090909090909091,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,16.0,1.0,20181111034322.0,21077.0,0.6060606060606061,1.35
24,,,4.0,1.5,0.8,-1.5,0.9523809523809523,187.5,0.7692307692307693,187.5,1.0,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,15.0,1.0,20181111034323.0,11077.0,1.15,0.6896551724137931
25,,,4.0,1.5,0.8,-1.5,0.9523809523809523,186.5,0.8695652173913043,186.5,0.8695652173913043,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,7.0,1.0,20181111034331.0,11095.0,1.15,0.6896551724137931
26,,,4.0,-1.5,1.0,1.5,0.7692307692307693,186.5,0.8695652173913043,186.5,0.8695652173913043,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,7.0,1.0,20181111034332.0,21077.0,0.6060606060606061,1.35
27,,,4.0,-1.5,1.0,1.5,0.7692307692307693,186.5,0.8695652173913043,186.5,0.8695652173913043,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,6.0,0.0,20181111034333.0,21077.0,0.6060606060606061,1.35
28,,,4.0,-1.5,1.0,1.5,0.7692307692307693,186.5,0.8333333333333334,186.5,0.9090909090909091,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,85,86,0,1,3.0,5.0,0.0,20181111034335.0,21077.0,0.6060606060606061,1.35
29,44.0,5.0,4.0,-1.5,1.0,1.5,0.7692307692307693,186.5,0.8695652173913043,186.5,0.8695652173913043,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,86,0,1,3.0,7.0,0.0,20181111034338.0,21081.0,0.6060606060606061,1.35
30,,,4.0,-1.5,1.0,1.5,0.7692307692307693,187.5,0.8333333333333334,187.5,0.9090909090909091,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,86,0,1,3.0,7.0,0.0,20181111034508.0,21077.0,0.6060606060606061,1.35
31,,,4.0,-1.5,1.0,1.5,0.7692307692307693,187.5,0.8333333333333334,187.5,0.9090909090909091,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,86,0,1,3.0,7.0,1.0,20181111034510.0,21077.0,0.6060606060606061,1.35
32,,,4.0,-1.5,0.9523809523809523,1.5,0.8,187.5,0.7692307692307693,187.5,1.0,13.0,,9,11.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,86,0,1,3.0,3.0,1.0,20181111034513.0,21077.0,0.6666666666666666,1.2
33,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,187.5,0.7692307692307693,187.5,1.0,10.0,,9,11.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,86,0,1,2.0,54.0,1.0,20181111034522.0,21077.0,0.6666666666666666,1.2
34,,,4.0,-3.5,1.0,3.5,0.7692307692307693,187.5,0.7692307692307693,187.5,1.0,10.0,,9,11.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,52.0,1.0,20181111034524.0,21077.0,0.3225806451612903,2.35
35,,,4.0,-3.5,1.0,3.5,0.7692307692307693,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,52.0,1.0,20181111034524.0,21075^11077,0.3225806451612903,2.35
