,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
10,,,,,,3.5,0.83,-3.5,0.83,155.5,0.83,151.5,0.83,155.5,,,1.7,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,50.0,1.0,20180721120048.0,11077.0,,1.25,0.0
11,,,,,,3.5,0.83,-3.5,0.83,155.5,0.83,155.5,0.83,155.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180721120053.0,11077.0,,1.25,0.0
12,,,,,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180721120053.0,11077.0,,1.25,0.0
13,,,,,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-5.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180721120053.0,11075.0,,1.25,0.0
14,,,,,,5.5,0.83,-5.5,0.83,154.5,0.83,155.5,0.83,154.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180721120053.0,11075.0,,1.25,0.0
15,,,,,,5.5,0.83,-5.5,0.83,154.5,0.83,154.5,0.83,154.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,43.0,1.0,20180721120056.0,11075.0,,1.25,0.0
16,,,,,,5.5,0.83,-5.5,0.83,154.5,0.83,154.5,0.83,154.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,43.0,1.0,20180721120056.0,21077.0,,1.25,0.0
17,,,,,,5.5,0.83,-5.5,0.83,154.5,0.83,154.5,0.83,154.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180721120104.0,21077.0,,1.25,0.0
18,,,,,,5.5,0.83,-5.5,0.83,153.5,0.83,154.5,0.83,153.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180721120104.0,21077.0,,1.25,0.0
19,,,,,,5.5,0.83,-5.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,27.0,1.0,20180721120112.0,21077.0,,1.25,0.0
20,,,,,,5.5,0.83,-5.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,27.0,1.0,20180721120112.0,21077.0,,1.25,0.0
21,,,,,,5.5,0.83,-5.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180721120113.0,21077.0,,1.25,0.0
22,,,,,,5.5,0.83,-5.5,0.83,155.5,0.83,153.5,0.83,155.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180721120113.0,11077.0,,1.25,0.0
