,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,0.63,1.2
1,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,1.0,,,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.63,1.2
2,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,1.0,,,,,0.0,1,9.0,GD,59.0,1.0,20180629123240.0,11077.0,0.63,1.2
3,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,1.0,1.1,,,,0.0,1,9.0,GD,59.0,1.0,20180629123240.0,11077.0,0.63,1.2
4,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,1.0,0.66,,,,0.0,1,9.0,GD,57.0,1.0,20180629123241.0,21077.0,0.63,1.2
5,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,1.0,1.2,,,,0.0,1,9.0,GD,57.0,1.0,20180629123241.0,21077.0,0.63,1.2
6,,,,第1节,-2.5,0.83,2.5,0.83,129.5,0.83,129.5,0.83,,1.0,0.63,,,,0.0,1,9.0,GD,48.0,1.0,20180629123249.0,11077.0,0.63,1.2
7,,,,第1节,-2.5,0.83,2.5,0.83,128.5,0.83,128.5,0.83,128.5,1.0,0.63,,,,0.0,1,9.0,GD,48.0,1.0,20180629123249.0,11077.0,0.63,1.2
8,,,,第1节,-2.5,0.83,2.5,0.83,128.5,0.83,128.5,0.83,128.5,1.0,1.1,,,,0.0,1,9.0,GD,48.0,1.0,20180629123249.0,11077.0,0.63,1.2
9,,,,第1节,-2.5,0.83,2.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,0.66,,,,0.0,1,9.0,GD,48.0,1.0,20180629123249.0,21077.0,0.63,1.2
10,,,,第1节,-2.5,0.83,2.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,0.66,,,,0.0,1,9.0,GD,36.0,1.0,20180629123301.0,21077.0,0.63,1.2
11,,,,第1节,-2.5,0.83,2.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,1.2,,,,0.0,1,9.0,GD,36.0,1.0,20180629123301.0,21077.0,0.63,1.2
