,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
20,,第1节,1.5,0.8,-1.5,0.87,158.5,0.83,158.5,0.83,158.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,21077.0,0.87,0.8,
21,,第1节,1.5,0.8,-1.5,0.87,158.5,0.83,158.5,0.83,158.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.87,0.8,
22,,第1节,1.5,0.8,-1.5,0.87,158.5,0.83,158.5,0.83,158.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,21077.0,0.87,0.8,
23,,第1节,1.5,0.8,-1.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.87,0.8,
24,,第1节,1.5,0.8,-1.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,35.0,0,,11077.0,0.87,0.8,
25,,第1节,1.5,0.8,-1.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,9.0,GD,35.0,0,,11074.0,0.87,0.8,"0.88,0.54"
26,,第1节,1.5,0.8,-1.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,0.87,0.8,
27,,第1节,1.5,0.83,-2.5,0.83,157.5,0.83,157.5,0.83,-2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,0.87,0.8,
28,,第1节,2.5,0.83,-2.5,0.83,157.5,0.83,159.5,0.83,2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,0.87,0.8,
29,,第1节,2.5,0.83,-2.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,0.87,0.8,
30,,第1节,2.5,0.83,-2.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21086.0,1.1,0.66,
31,,第1节,2.5,0.83,-2.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,11077.0,1.1,0.66,
32,,第1节,2.5,0.87,-2.5,0.8,159.5,0.83,159.5,0.83,159.5,1.0,1:1,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1,9.0,GD,35.0,0,,11078.0,1.2,0.63,
33,,第1节,2.5,0.87,-2.5,0.8,159.5,0.83,159.5,0.83,159.5,1.0,1:1,,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,3.0,2.0,0.0,1,9.0,GD,35.0,0,,11079.0,1.2,0.63,"0.80,0.50"
34,,第1节,2.5,0.8,-3.5,0.87,159.5,0.83,159.5,0.83,-3.5,1.0,,,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,3.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,1.2,0.63,
35,,第1节,3.5,0.8,-3.5,0.87,159.5,0.83,160.5,0.83,3.5,1.0,,,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,3.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,1.2,0.63,
36,,第1节,3.5,0.8,-3.5,0.87,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,3.0,2.0,0.0,1,9.0,GD,35.0,0,,21077.0,1.2,0.63,
37,,第1节,3.5,0.8,-3.5,0.87,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,3.0,0.0,1,9.0,GD,35.0,0,,21077.0,1.2,0.63,
38,,第1节,3.5,0.8,-3.5,0.87,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,3.0,0.0,1,9.0,GD,17.0,0,,21077.0,1.25,0.0,
39,,第1节,3.5,0.8,-3.5,0.87,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,2.0,0.0,1,9.0,GD,17.0,0,,21074.0,1.25,0.0,"0.24,0.50"
