,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
10,第1节,-1.5,0.83,2.5,0.83,174.5,0.83,174.5,0.83,2.5,0.0,0,0.0,4.0,0,0,5,5,0,0,0.0,0.0,8.0,0.0,0.0,1,9.0,14.0,0,,11077.0,0.8,0.87
11,第1节,-2.5,0.83,2.5,0.83,174.5,0.83,176.5,0.83,-2.5,0.0,0,0.0,4.0,0,0,5,5,0,0,0.0,0.0,8.0,0.0,0.0,1,9.0,14.0,0,,11077.0,0.8,0.87
12,第1节,-2.5,0.83,2.5,0.83,176.5,0.83,176.5,0.83,176.5,0.0,0,0.0,4.0,0,0,5,5,0,0,0.0,0.0,8.0,0.0,0.0,1,9.0,14.0,0,,11077.0,0.8,0.87
13,第1节,-2.5,0.83,2.5,0.83,176.5,0.83,176.5,0.83,176.5,0.0,0,0.0,5.0,0,0,5,5,0,0,0.0,0.0,8.0,10.0,0.0,1,9.0,14.0,0,,21074.0,0.66,1.1
14,第1节,-2.5,0.83,2.5,0.83,176.5,0.83,176.5,0.83,176.5,0.0,0,0.0,5.0,0,0,5,5,0,0,0.0,0.0,10.0,0.0,0.0,1,9.0,8.0,0,,11077.0,0.66,1.1
15,第1节,-2.5,0.87,4.5,0.8,176.5,0.83,176.5,0.83,4.5,0.0,0,0.0,5.0,0,0,5,5,0,0,0.0,0.0,10.0,0.0,0.0,1,9.0,8.0,0,,11077.0,0.66,1.1
16,第1节,-4.5,0.87,4.5,0.8,176.5,0.83,178.5,0.83,-4.5,0.0,0,0.0,5.0,0,0,5,5,0,0,0.0,0.0,10.0,0.0,0.0,1,9.0,8.0,0,,11077.0,0.66,1.1
17,第1节,-4.5,0.87,4.5,0.8,178.5,0.83,178.5,0.83,178.5,0.0,0,0.0,5.0,0,0,5,5,0,0,0.0,0.0,10.0,0.0,0.0,1,9.0,8.0,0,,11077.0,0.66,1.1
18,第1节,-4.5,0.87,4.5,0.8,178.5,0.83,178.5,0.83,178.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,10.0,12.0,0.0,1,9.0,8.0,0,,21074.0,0.0,0.0
19,第1节,-4.5,0.87,4.5,0.8,178.5,0.83,178.5,0.83,178.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,9.0,8.0,0,,11077.0,0.0,0.0
20,第1节,-4.5,0.83,5.5,0.83,178.5,0.83,178.5,0.83,5.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,9.0,8.0,0,,11077.0,0.0,0.0
21,第1节,-5.5,0.83,5.5,0.83,178.5,0.83,178.5,0.83,-5.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,9.0,2.0,0,,11077.0,0.0,0.0
22,第1节,-5.5,0.83,5.5,0.83,180.5,0.83,180.5,0.83,180.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,9.0,2.0,0,,11077.0,0.0,0.0
23,第1节,-5.5,0.83,5.5,0.83,180.5,0.83,180.5,0.83,180.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,9.0,2.0,0,,11077.0,0.0,1.7
24,第1节,-5.5,0.83,5.5,0.83,180.5,0.83,180.5,0.83,180.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,9.0,2.0,0,,11077.0,0.0,1.7
25,第1节,-5.5,0.83,5.5,0.83,180.5,0.83,180.5,0.83,180.5,0.0,0,0.0,6.0,0,0,5,5,0,0,0.0,0.0,12.0,0.0,0.0,1,8.0,54.0,0,,11077.0,0.0,1.7
26,第1节,-5.5,0.83,5.5,0.83,180.5,0.83,180.5,0.83,180.5,0.0,0,0.0,7.0,0,0,5,5,0,0,0.0,0.0,12.0,14.0,0.0,1,8.0,54.0,0,,21074.0,0.0,1.7
27,第1节,-5.5,0.83,5.5,0.83,180.5,0.83,180.5,0.83,180.5,0.0,0,0.0,7.0,0,0,5,5,0,0,0.0,0.0,14.0,0.0,0.0,1,8.0,54.0,0,,11077.0,0.0,1.7
28,第1节,-5.5,0.83,7.5,0.83,180.5,0.83,180.5,0.83,7.5,0.0,0,0.0,7.0,0,0,5,5,0,0,0.0,0.0,14.0,0.0,0.0,1,8.0,54.0,0,,11077.0,0.0,1.7
29,第1节,-7.5,0.83,7.5,0.83,180.5,0.83,182.5,0.83,-7.5,0.0,0,0.0,7.0,0,0,5,5,0,0,0.0,0.0,14.0,0.0,0.0,1,8.0,54.0,0,,11077.0,0.0,1.7
30,第1节,-7.5,0.83,7.5,0.83,182.5,0.83,182.5,0.83,182.5,0.0,0,0.0,7.0,0,0,5,5,0,0,0.0,0.0,14.0,0.0,0.0,1,8.0,54.0,0,,11077.0,0.0,1.7
31,第1节,-7.5,0.83,7.5,0.83,182.5,0.83,182.5,0.83,182.5,0.0,0,0.0,8.0,0,0,5,5,0,0,0.0,0.0,14.0,16.0,0.0,1,8.0,54.0,0,,21074.0,0.0,0.0
32,第1节,-7.5,0.83,7.5,0.83,182.5,0.83,182.5,0.83,182.5,0.0,0,0.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,0.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
33,第1节,-7.5,0.83,9.5,0.83,182.5,0.83,182.5,0.83,9.5,0.0,0,0.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,0.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
34,第1节,-9.5,0.83,9.5,0.83,182.5,0.83,184.5,0.83,-9.5,0.0,0,0.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,0.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
35,第1节,-9.5,0.83,9.5,0.83,184.5,0.83,184.5,0.83,184.5,0.0,0,0.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,0.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
36,第1节,-9.5,0.83,9.5,0.83,184.5,0.83,184.5,0.83,184.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,2.0,0.0,0.0,1,8.0,49.0,0,,11074.0,0.0,0.0
37,第1节,-9.5,0.83,9.5,0.83,184.5,0.83,184.5,0.83,184.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
38,第1节,-9.5,0.83,7.5,0.83,184.5,0.83,184.5,0.83,7.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
39,第1节,-7.5,0.83,7.5,0.83,184.5,0.83,185.5,0.83,-7.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
40,第1节,-7.5,0.83,7.5,0.83,185.5,0.83,185.5,0.83,185.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
41,第1节,-7.5,0.83,7.5,0.83,185.5,0.83,185.5,0.83,185.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
42,第1节,-7.5,0.83,8.5,0.83,185.5,0.83,185.5,0.83,8.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
43,第1节,-8.5,0.83,8.5,0.83,185.5,0.83,186.5,0.83,-8.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
44,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
45,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,10.0,30.0,0,,21077.0,0.0,0.0
