,ED,HASA,HASA_ODD,HASH,HASH_ODD,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,27.5,0.0,-27.5,0.0,,7,1,23,20,,14,12,3,0,,6,7,,82.4,60.0,85,58,0,1,0,31.0,0,20181012194831,21077
1,,27.5,0.0,-27.5,0.0,^,7,1,23,20,,14,12,3,0,7.0,6,7,,82.4,60.0,85,58,0,1,0,32.0,0,20181012194845.0,11086^21077
2,,26.5,0.0,-26.5,0.0,1:2,7,1,23,20,,14,12,3,0,7.0,6,7,,82.4,60.0,85,58,0,1,0,32.0,0,20181012194846.0,21078.0
3,,26.5,0.0,-26.5,0.0,1:2^2:2,7,1,23,20,13.0,14,12,3,0,7.0,6,7,61.9,82.4,60.0,85,59,0,1,0,32.0,0,20181012194902.0,21079^21078
4,,26.5,0.0,-26.5,0.0,2:2^,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,32.0,0,20181012194914.0,21079^11077
5,,26.5,0.0,-26.5,0.0,2:2^,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,31.0,0,20181012194918.0,21079^11077
6,,26.5,0.0,-26.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,32.0,0,20181012194918.0,11077.0
7,,25.5,0.0,-25.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,23.0,0,20181012194926.0,11077.0
8,,24.5,0.0,-24.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,20.0,0,20181012194930.0,21077.0
9,,24.5,0.0,-24.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,11.0,0,20181012194938.0,21077.0
10,,25.5,0.0,-25.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,7.0,0,20181012194943.0,11077.0
11,,25.5,0.0,-25.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,0.0,0.0,20181012194951.0,11077.0
12,,25.5,0.0,-25.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,0.0,0.0,20181012194954.0,11077.0
13,,25.5,0.0,-25.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,0.0,0.0,20181012195007.0,11077.0
14,,25.5,0.0,-25.5,0.0,,7,1,23,20,14.0,14,12,3,0,7.0,6,7,63.6,82.4,60.0,85,60,0,1,0,0.0,0.0,20181012195007.0,1084.0
