,ED,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,14,3,19,27,10,5,4,1,3,3,90.9,62.5,90,68,0,1,0,0,0,20180916153635,11077
1,,14,3,19,27,10,5,4,1,3,3,90.9,62.5,90,68,0,1,0,0,0,20180916153635,1084.0
