,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
18,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,245.5,0.8,245.5,0.8695652173913043,,1:3,,10.0,11.0,35.0,27.0,12.0,15.0,2,2,4,2.0,75.0,83.3,112,103,0,1,5.0,37.0,0.0,20181026020021.0,11078.0,8.0,0.04
19,4.0,8.5,0.9090909090909091,-8.5,0.7692307692307693,244.5,0.9090909090909091,244.5,0.7692307692307693,,1:3^2:3,,10.0,11.0,35.0,27.0,13.0,15.0,2,2,4,2.0,76.5,83.3,113,103,0,1,5.0,37.0,0.0,20181026020027.0,11079^11078,8.5,0.03571428571428571
20,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,244.5,0.8695652173913043,244.5,0.8,,2:3^3:3,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,37.0,0.0,20181026020030.0,11079^11078,9.0,0.030303030303030304
21,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,244.5,0.8695652173913043,244.5,0.8,,2:3^3:3,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,37.0,1.0,20181026020056.0,11079^11078,9.0,0.030303030303030304
22,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,243.5,0.9090909090909091,243.5,0.7692307692307693,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,28.0,1.0,20181026020104.0,21077.0,9.0,0.030303030303030304
23,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,243.5,0.8,243.5,0.8695652173913043,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,22.0,1.0,20181026020110.0,21095.0,10.0,0.02
24,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,243.5,0.7692307692307693,243.5,0.9090909090909091,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,21.0,0.0,20181026020111.0,11077.0,11.0,0.015151515151515152
25,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,243.5,0.7692307692307693,243.5,0.9090909090909091,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,21.0,1.0,20181026020134.0,11077.0,11.0,0.015151515151515152
26,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,242.5,0.8333333333333334,242.5,0.8333333333333334,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,12.0,1.0,20181026020142.0,11077.0,11.5,0.013333333333333334
27,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,242.5,0.8,242.5,0.8695652173913043,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,12.0,1.0,20181026020146.0,21077.0,10.0,0.02
28,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,241.5,0.8333333333333334,241.5,0.8333333333333334,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,5.0,1.0,1.0,20181026020154.0,21077.0,10.0,0.02
29,4.0,9.5,0.7692307692307693,-9.5,0.9090909090909091,241.5,0.7692307692307693,241.5,0.9090909090909091,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,57.0,1.0,20181026020158.0,21094.0,10.5,0.016666666666666666
30,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,241.5,0.7692307692307693,241.5,0.9090909090909091,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,57.0,1.0,20181026020159.0,11077.0,13.0,0.011111111111111112
31,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,240.5,0.8333333333333334,240.5,0.8333333333333334,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,48.0,1.0,20181026020207.0,11077.0,13.0,0.011111111111111112
32,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,239.5,0.8695652173913043,239.5,0.8,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,40.0,1.0,20181026020215.0,11077.0,14.0,0.01
33,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,239.5,0.8695652173913043,239.5,0.8,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,40.0,1.0,20181026020220.0,11077.0,14.0,0.01
34,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,240.5,0.8333333333333334,240.5,0.8333333333333334,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,27.0,1.0,20181026020228.0,21077.0,14.0,0.01
35,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,,,,10.0,11.0,35.0,27.0,14.0,15.0,2,2,4,2.0,77.8,83.3,114,103,0,1,4.0,19.0,1.0,20181026020236.0,21077.0,17.0,0.004
36,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,241.5,0.8695652173913043,241.5,0.8,,^,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,2.0,77.8,83.3,117,105,0,1,4.0,15.0,1.0,20181026020240.0,21074^11077,15.0,0.006666666666666667
