,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,4.0,-17.5,0.8695652173913043,17.5,0.8,140.5,0.8333333333333334,140.5,0.8333333333333334,,,6.0,2.0,12.0,24.0,1,4,4,5,0.0,0.0,33.3,50.0,43,59.0,0,1,10.0,0.0,0,20181026170302,01082,0.005,16.0
1,4.0,-17.5,0.8695652173913043,17.5,0.8,140.5,0.8333333333333334,140.5,0.8333333333333334,,^,6.0,2.0,12.0,24.0,1,4,4,5,0.0,0.0,33.3,50.0,43,59.0,0,1,10.0,0.0,1.0,20181026170302,01090^21077,0.005,16.0
2,4.0,-17.5,0.8695652173913043,17.5,0.8,140.5,0.8,140.5,0.8695652173913043,,,6.0,2.0,12.0,24.0,1,4,4,5,0.0,0.0,33.3,50.0,43,59.0,0,1,9.0,59.0,1.0,20181026170413.0,11077.0,0.005,16.0
3,4.0,-15.5,0.8695652173913043,15.5,0.8,142.5,0.8,142.5,0.8695652173913043,7.0,^,6.0,2.0,13.0,24.0,1,4,4,5,0.0,0.0,33.3,50.0,45,59.0,0,1,9.0,55.0,1.0,20181026170416.0,11074^21077,0.011111111111111112,13.0
4,4.0,-15.5,0.8695652173913043,15.5,0.8,142.5,0.8,142.5,0.8695652173913043,7.0,,6.0,2.0,13.0,24.0,1,4,4,5,0.0,0.0,33.3,50.0,45,59.0,0,1,9.0,54.0,1.0,20181026170417.0,21077.0,0.011111111111111112,13.0
5,4.0,-15.5,0.8695652173913043,15.5,0.8,141.5,0.8333333333333334,141.5,0.8333333333333334,7.0,,6.0,2.0,13.0,24.0,1,4,4,5,0.0,0.0,33.3,50.0,45,59.0,0,1,9.0,45.0,1.0,20181026170425.0,21077.0,0.01,14.0
6,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,143.5,0.8333333333333334,143.5,0.8333333333333334,6.0,^,6.0,2.0,13.0,25.0,1,4,4,5,0.0,0.0,33.3,50.0,45,61.0,0,1,9.0,43.0,1.0,20181026170428.0,21074^11077,0.005,16.0
7,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,143.5,0.8333333333333334,143.5,0.8333333333333334,6.0,,6.0,2.0,13.0,25.0,1,4,4,5,0.0,0.0,33.3,50.0,45,61.0,0,1,9.0,42.0,1.0,20181026170429.0,11077.0,0.005,16.0
8,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,142.5,0.9090909090909091,142.5,0.7692307692307693,6.0,,6.0,2.0,13.0,25.0,1,4,4,5,0.0,0.0,33.3,50.0,45,61.0,0,1,9.0,33.0,1.0,20181026170437.0,11077.0,0.004,17.0
9,4.0,-15.5,0.8695652173913043,15.5,0.8,144.5,0.9090909090909091,144.5,0.7692307692307693,7.0,^,6.0,2.0,14.0,25.0,1,4,4,5,0.0,0.0,33.3,50.0,47,61.0,0,1,9.0,31.0,1.0,20181026170440.0,11074^21077,0.01,14.0
