,AM,AS,ED,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
35,,,,,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,0.0,21.0,0.0,20181013014418.0,21077.0
36,,,,,,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,63,0,1,0.0,19.0,0.0,20181013014421.0,21074.0
37,,,,,,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,63,0,1,0.0,32.0,0.0,20181013014427.0,21074.0
38,,,,,,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,63,0,1,0.0,29.0,0.0,20181013014430.0,21074.0
39,,,,,,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,63,0,1,0.0,9.0,0.0,20181013014449.0,21074.0
40,,,,,6.0,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,66,0,1,0.0,0.0,0.0,20181013014459.0,21075.0
41,,,,,6.0,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,66,0,1,0.0,0.0,0.0,20181013014502.0,21075.0
42,,,,,6.0,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,66,0,1,0.0,0.0,0.0,20181013014502.0,1084.0
43,,,,,6.0,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,66,0,1,0.0,0.0,0.0,20181013014513.0,1084.0
44,,,,,6.0,7,5,21.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,66,0,1,0.0,0.0,0.0,20181013014513.0,1084.0
