,AM,AS,ED,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,7,5,,24,20,,11,6,3,0,,3,4,,61.1,100.0,80,61,0,1,1.0,47.0,0,20181013013923,21077^21081
1,,,,,,7,5,,24,20,,11,6,3,0,,3,4,,61.1,100.0,80,61,0,1,1.0,47.0,1.0,20181013014103.0,21077.0
2,,,,,,7,5,,24,20,,11,6,3,0,,3,4,,61.1,100.0,80,61,0,1,1.0,45.0,0.0,20181013014104.0,21077.0
3,,,,,,7,5,,24,20,,11,6,3,0,,3,4,,61.1,100.0,80,61,0,1,1.0,45.0,0.0,20181013014107.0,21086.0
4,,,,,,7,5,,24,20,,11,6,3,0,,3,4,,61.1,100.0,80,61,0,1,1.0,45.0,0.0,20181013014128.0,21086.0
5,,,,,,7,5,,24,20,,11,6,3,0,5.0,3,4,,61.1,100.0,80,61,0,1,1.0,47.0,0.0,20181013014131.0,21086.0
6,,,,,,7,5,,24,20,,11,6,3,0,5.0,3,4,,61.1,100.0,80,61,0,1,1.0,47.0,1.0,20181013014147.0,21086.0
7,,,,,,7,5,,24,20,,11,6,3,0,5.0,3,4,,61.1,100.0,80,61,0,1,1.0,38.0,1.0,20181013014156.0,11077.0
8,,,,,,7,5,,24,20,,11,6,3,0,5.0,3,4,,61.1,100.0,80,61,0,1,1.0,30.0,0.0,20181013014203.0,11077.0
9,,,,,,7,5,,24,20,,11,6,3,0,5.0,3,4,,61.1,100.0,80,61,0,1,1.0,30.0,0.0,20181013014204.0,21086.0
10,,,,1:2,,7,5,,24,20,,11,6,3,0,5.0,3,4,,61.1,100.0,80,61,0,1,1.0,30.0,0.0,20181013014211.0,11078.0
11,,,,^1:2,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,63.2,61.1,100.0,80,61,0,1,1.0,30.0,0.0,20181013014211.0,21086^11078
12,,,,2:2^,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,30.0,1.0,20181013014230.0,11080^21077
13,,,,2:2^,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,29.0,1.0,20181013014231.0,11080^21077
14,,,,2:2^,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,30.0,1.0,20181013014232.0,11080^21077
15,,,,,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,21.0,1.0,20181013014241.0,11077.0
16,,,,,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,18.0,0.0,20181013014244.0,11077.0
17,,,,,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,18.0,0.0,20181013014245.0,21086.0
18,,,,,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,18.0,0.0,20181013014246.0,21086.0
19,,,,1:2,,7,5,,24,20,12.0,11,6,3,0,6.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,18.0,0.0,20181013014255.0,11078.0
20,,,,^1:2,,7,5,,24,20,12.0,11,6,3,0,7.0,3,4,60.0,61.1,100.0,80,61,0,1,1.0,18.0,0.0,20181013014256.0,21086^11078
21,,,,1:2^2:2,,7,5,,24,20,13.0,11,6,3,0,7.0,3,4,61.9,61.1,100.0,82,61,0,1,1.0,18.0,0.0,20181013014308.0,11079^11078
22,,,,1:2^2:2,,7,5,,24,20,13.0,11,6,3,0,7.0,3,4,61.9,61.1,100.0,82,61,0,1,1.0,16.0,0.0,20181013014309.0,11079^11078
23,,,,2:2^,,7,5,,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,82,61,0,1,1.0,16.0,1.0,20181013014316.0,11080^21077
24,,,,2:2^,,7,5,,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,82,61,0,1,1.0,16.0,1.0,20181013014319.0,11080^21077
25,,,,,,7,5,,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,82,61,0,1,1.0,7.0,1.0,20181013014328.0,11077.0
26,,,,^,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,1.0,5.0,1.0,20181013014329.0,11074^21077
27,,,,^,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,1.0,3.0,0.0,20181013014332.0,11074^21077
28,,,,^,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,1.0,5.0,0.0,20181013014335.0,11074^21077
29,,,,^,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,1.0,5.0,1.0,20181013014335.0,11074^21077
30,,,,,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,1.0,5.0,1.0,20181013014336.0,21077.0
31,,,,,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,0.0,56.0,1.0,20181013014344.0,21077.0
32,,,,,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,0.0,48.0,1.0,20181013014353.0,21077.0
33,,,,,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,0.0,44.0,1.0,20181013014356.0,21077.0
34,,,,,,7,5,25.0,24,20,13.0,11,6,3,0,7.0,3,4,59.1,61.1,100.0,84,61,0,1,0.0,44.0,0.0,20181013014356.0,21077.0
