,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,,6.5,0.8,-6.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20180913165225,,1.75,0.4,
1,,,,,6.5,0.8,-6.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20180913170115.0,,1.75,0.4,
2,,,,,6.5,0.8,-6.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,10.0,0.0,0,20180913170115.0,,1.75,0.4,
3,,,,,5.5,0.8695652173913043,-5.5,0.8,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,59.0,0,20180913170119.0,11077.0,1.75,0.4,
4,,,,,5.5,0.8695652173913043,-5.5,0.8,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,50.0,0,20180913170127.0,11077.0,1.75,0.4,
5,,,,,5.5,0.8695652173913043,-5.5,0.8,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,42.0,0,20180913170136.0,11077.0,1.75,0.4,
6,,,,,7.5,0.8333333333333334,-7.5,0.8333333333333334,156.5,0.8,156.5,0.8695652173913043,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,37.0,0,20180913170141.0,11074.0,2.25,0.3333333333333333,
7,,,,,7.5,0.8333333333333334,-7.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,32.0,0,20180913170146.0,21077.0,2.25,0.3333333333333333,
8,,,,,7.5,0.8333333333333334,-7.5,0.8333333333333334,155.5,0.8,155.5,0.8695652173913043,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,23.0,0,20180913170154.0,21077.0,2.25,0.3333333333333333,
9,,,,,7.5,0.8333333333333334,-7.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,15.0,0,20180913170202.0,11077.0,2.25,0.3333333333333333,
