,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
15,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.0,,,,,0.0,1,10.0,,0.0,0,20180518140102.0,,,0.0,0.0
16,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.0,,,,,0.0,1,10.0,,0.0,0,20180518140102.0,,,0.0,0.0
17,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.83,,,,,0.0,1,10.0,,0.0,0,20180518140102.0,,,0.0,0.0
18,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.83,,,,,0.0,1,10.0,,0.0,0,20180518140114.0,,,0.0,0.0
19,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.83,,,,,0.0,1,10.0,,0.0,0,20180518140114.0,,,0.0,0.0
20,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.83,,,,,0.0,1,10.0,,0.0,0,20180518140229.0,,,0.0,0.0
21,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.83,,,,,0.0,1,10.0,1~GD,0.0,0,20180518140229.0,21077.0,,0.0,0.0
22,,,,,,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,,,0.83,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180518140230.0,21077.0,,0.0,0.0
23,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180518140230.0,21077.0,,0.0,0.0
24,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,,,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180518140238.0,21077.0,,0.0,0.0
25,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.8,,,,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180518140238.0,21077.0,,0.0,0.0
26,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.87,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180518140246.0,21077.0,,0.0,0.0
27,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.83,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180518140246.0,21077.0,,0.0,0.0
28,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.83,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180518140246.0,21077.0,,0.0,0.0
29,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,36.0,1.0,20180518140254.0,21077.0,,0.0,0.0
30,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,36.0,1.0,20180518140254.0,21077.0,,0.0,0.0
31,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180518140255.0,21077.0,,0.0,0.0
32,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180518140255.0,21094.0,,0.0,0.0
33,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,34.0,1.0,20180518140255.0,21094.0,,0.0,0.0
