,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-21.5,0.0,21.5,0.0,,,8,12,,12,20,,15,8,2,2,,4,4,,83.3,47.1,,63,84,0,1,1.0,47.0,1,20180919035203,21077
1,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,,15,8,2,2,,4,4,,83.3,47.1,,63,84,0,1,1.0,41.0,0.0,20180919035211.0,11077.0
2,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,,15,8,2,2,,4,4,,83.3,47.1,,63,84,0,1,1.0,41.0,1.0,20180919035215.0,11077.0
3,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,,15,8,2,2,,4,4,,83.3,47.1,,63,84,0,1,1.0,32.0,1.0,20180919035223.0,11077.0
4,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,,15,8,2,2,,4,4,,83.3,47.1,,63,84,0,1,1.0,29.0,0.0,20180919035227.0,11077.0
5,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,,15,8,2,2,,4,4,,83.3,47.1,,63,84,0,1,1.0,29.0,0.0,20180919035239.0,11077.0
6,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,,15,8,2,2,5.0,4,4,,83.3,47.1,,63,84,0,1,1.0,29.0,0.0,20180919035244.0,21086.0
7,4.0,-19.5,0.0,19.5,0.0,,1:2,8,12,,12,20,,15,8,2,2,5.0,4,4,,83.3,47.1,,63,84,0,1,1.0,29.0,0.0,20180919035301.0,11078.0
8,4.0,-19.5,0.0,19.5,0.0,,2:2^,8,12,,12,20,17.0,15,8,2,2,5.0,4,4,85.0,83.3,47.1,65.0,65,84,0,1,1.0,29.0,1.0,20180919035321.0,11079^21077
9,4.0,-19.5,0.0,19.5,0.0,,2:2^,8,12,,12,20,17.0,15,8,2,2,5.0,4,4,85.0,83.3,47.1,65.0,65,84,0,1,1.0,26.0,0.0,20180919035323.0,11079^21077
10,4.0,-19.5,0.0,19.5,0.0,,2:2^,8,12,,12,20,17.0,15,8,2,2,5.0,4,4,85.0,83.3,47.1,65.0,65,84,0,1,1.0,26.0,0.0,20180919035326.0,11079^21077
11,4.0,-19.5,0.0,19.5,0.0,,1:2,8,12,,12,20,17.0,15,8,2,2,5.0,4,4,85.0,83.3,47.1,65.0,65,84,0,1,1.0,26.0,0.0,20180919035347.0,21078.0
12,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,86.0,65,86,0,1,1.0,26.0,0.0,20180919035402.0,11077.0
13,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,86.0,65,86,0,1,1.0,17.0,1.0,20180919035413.0,11077.0
14,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,86.0,65,86,0,1,1.0,12.0,0.0,20180919035418.0,11095.0
15,4.0,-20.5,0.0,20.5,0.0,,,8,12,,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,86.0,65,86,0,1,1.0,12.0,0.0,20180919035422.0,11095.0
16,4.0,-21.5,0.0,21.5,0.0,,,8,12,,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,86.0,65,86,0,1,1.0,7.0,1.0,20180919035439.0,21077.0
17,4.0,-21.5,0.0,21.5,0.0,,,8,12,,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,86.0,65,86,0,1,1.0,7.0,1.0,20180919035443.0,21077.0
18,4.0,-22.5,0.0,22.5,0.0,,,8,12,21.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,88.0,65,88,0,1,1.0,2.0,1.0,20180919035444.0,11077.0
19,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,21.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,88.0,65,88,0,1,0.0,46.0,1.0,20180919035459.0,21077.0
20,4.0,-24.5,0.0,24.5,0.0,1.0,^,8,12,22.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,90.0,65,90,0,1,0.0,36.0,1.0,20180919035509.0,21074^11077
21,4.0,-24.5,0.0,24.5,0.0,1.0,^,8,12,22.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,90.0,65,90,0,1,0.0,28.0,1.0,20180919035517.0,21074^11077
22,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,27.0,1.0,20180919035519.0,21077.0
23,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,22.0,0.0,20180919035523.0,21077.0
24,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,13.0,1.0,20180919035538.0,21077.0
25,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,5.0,1.0,20180919035546.0,21077.0
26,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,0.0,0.0,20180919035552.0,21077.0
27,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,0.0,0.0,20180919035553.0,1084.0
28,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,0.0,0.0,20180919035553.0,1084.0
29,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,0.0,0.0,20180919035553.0,1084.0
30,4.0,-23.5,0.0,23.5,0.0,1.0,,8,12,13.0,12,20,10.0,15,8,2,2,5.0,4,4,52.6,83.3,47.1,67.0,67,90,0,1,0.0,0.0,0.0,20180919035553.0,1084.0
