,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,KC,KI,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
29,,,,,,-5.5,0.83,5.5,0.83,136.5,0.83,137.5,0.83,136.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,9.0,1~GD,11.0,1.0,20180721114646.0,21077.0,,0.47,0.0
30,,,,,,-5.5,0.83,5.5,0.83,136.5,0.83,136.5,0.83,136.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,9.0,1~GD,3.0,1.0,20180721114654.0,21077.0,,0.47,0.0
31,,,,,,-5.5,0.83,5.5,0.83,136.5,0.83,136.5,0.83,136.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,9.0,1~GD,3.0,1.0,20180721114654.0,21077.0,,0.47,0.0
32,,,,,,-5.5,0.83,5.5,0.83,136.5,0.83,136.5,0.83,136.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,9.0,1~GD,2.0,1.0,20180721114655.0,21077.0,,0.47,0.0
33,,,,,,-5.5,0.83,5.5,0.83,135.5,0.83,136.5,0.83,135.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,9.0,1~GD,2.0,1.0,20180721114655.0,11077.0,,0.47,0.0
34,,,,,,-5.5,0.83,5.5,0.83,135.5,0.83,135.5,0.83,135.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,54.0,1.0,20180721114704.0,11077.0,,0.47,0.0
35,,,,,,-5.5,0.83,5.5,0.83,137.5,0.87,135.5,0.8,137.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,54.0,1.0,20180721114704.0,11077.0,,0.47,0.0
36,,,,,,-5.5,0.83,5.5,0.83,137.5,0.87,137.5,0.8,137.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,54.0,1.0,20180721114704.0,11077.0,,0.47,0.0
37,,,,,,-5.5,0.83,5.5,0.83,137.5,0.87,137.5,0.8,137.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,47.0,1.0,20180721114710.0,11077.0,,0.47,0.0
38,,,,,,-3.5,0.8,3.5,0.83,137.5,0.87,137.5,0.8,-3.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,47.0,1.0,20180721114710.0,11077.0,,0.47,0.0
39,,,,,,-3.5,0.8,3.5,0.87,137.5,0.83,137.5,0.83,3.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,46.0,1.0,20180721114711.0,11074.0,,0.47,0.0
40,,,,,,-3.5,0.8,3.5,0.87,137.5,0.83,137.5,0.83,3.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,46.0,1.0,20180721114711.0,21077.0,,0.47,0.0
41,,,,,,-3.5,0.8,3.5,0.87,137.5,0.83,137.5,0.83,3.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,38.0,1.0,20180721114720.0,21077.0,,0.47,0.0
42,,,,,,-3.5,0.8,3.5,0.87,140.5,0.83,137.5,0.83,140.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,#C40010,1,8.0,1~GD,38.0,1.0,20180721114720.0,21077.0,,0.47,0.0
43,,,,,,-3.5,0.8,3.5,0.87,140.5,0.83,140.5,0.83,140.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,32.0,1.0,20180721114725.0,21077.0,,0.47,0.0
44,,,,,,-6.5,0.87,6.5,0.87,140.5,0.83,140.5,0.83,-6.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,32.0,1.0,20180721114725.0,21077.0,,0.47,0.0
45,,,,,,-6.5,0.87,6.5,0.8,140.5,0.83,140.5,0.83,6.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,31.0,1.0,20180721114726.0,21075.0,,0.47,0.0
46,,,,,,-6.5,0.87,6.5,0.8,139.5,0.87,140.5,0.8,139.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,31.0,1.0,20180721114726.0,11077.0,,0.47,0.0
47,,,,,,-6.5,0.87,6.5,0.8,139.5,0.87,139.5,0.8,139.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,23.0,1.0,20180721114734.0,11077.0,,0.47,0.0
48,,,,,,-5.5,0.8,5.5,0.8,139.5,0.87,139.5,0.8,-5.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,23.0,1.0,20180721114734.0,11077.0,,0.47,0.0
49,,,,,,-5.5,0.8,5.5,0.87,139.5,0.83,139.5,0.83,5.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,15.0,1.0,20180721114742.0,11077.0,,0.47,0.0
50,,,,,,-5.5,0.8,5.5,0.87,141.5,0.83,139.5,0.83,141.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,6.0,4.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,15.0,1.0,20180721114742.0,11077.0,,0.47,0.0
51,,,,,,-5.5,0.8,5.5,0.87,141.5,0.83,141.5,0.83,141.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.47,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,10.0,1.0,20180721114747.0,11077.0,,0.47,0.0
52,,,,,,-4.5,0.83,4.5,0.87,141.5,0.83,141.5,0.83,-4.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,2.0,0.0,5.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,10.0,1.0,20180721114747.0,11077.0,,0.47,0.0
53,,,,,,-4.5,0.83,4.5,0.83,141.5,0.83,141.5,0.83,4.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,8.0,1.0,20180721114749.0,11074.0,,0.47,0.0
