,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,KC,KI,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
64,,,,,,-6.5,0.83,6.5,0.83,142.5,0.87,142.5,0.8,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,38.0,1.0,20180721114820.0,11077.0,,0.47,0.0
65,,,,,,-6.5,0.83,6.5,0.83,145.5,0.83,142.5,0.83,145.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,38.0,1.0,20180721114820.0,11077.0,,0.47,0.0
66,,,,,,-6.5,0.83,6.5,0.83,145.5,0.83,145.5,0.83,145.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,38.0,1.0,20180721114820.0,11077.0,,0.47,0.0
67,,,,,,-6.5,0.83,6.5,0.83,145.5,0.83,145.5,0.83,145.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,32.0,1.0,20180721114825.0,11077.0,,0.47,0.0
68,,,,,,-5.5,0.87,5.5,0.83,145.5,0.83,145.5,0.83,-5.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,32.0,1.0,20180721114825.0,11077.0,,0.47,0.0
69,,,,,,-5.5,0.87,5.5,0.8,145.5,0.8,145.5,0.87,5.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,31.0,1.0,20180721114826.0,11074.0,,0.47,0.0
70,,,,,,-5.5,0.83,5.5,0.83,144.5,0.83,145.5,0.83,144.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,31.0,1.0,20180721114826.0,21077.0,,0.47,0.0
71,,,,,,-5.5,0.83,5.5,0.83,144.5,0.83,144.5,0.83,144.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,23.0,1.0,20180721114834.0,21077.0,,0.47,0.0
72,,,,,,-5.5,0.83,5.5,0.83,143.5,0.87,144.5,0.8,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,23.0,1.0,20180721114834.0,21077.0,,0.47,0.0
73,,,,,,-5.5,0.83,5.5,0.83,143.5,0.87,143.5,0.8,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,1.7,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,15.0,1.0,20180721114842.0,21077.0,,0.47,0.0
74,,,,,,-5.5,0.83,5.5,0.83,143.5,0.83,143.5,0.83,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,15.0,1.0,20180721114842.0,21077.0,,0.47,0.0
75,,,,,,-5.5,0.83,5.5,0.83,143.5,0.83,143.5,0.83,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,9.0,1.0,20180721114848.0,21077.0,,0.47,0.0
76,,,,,,-5.5,0.87,5.5,0.8,142.5,0.87,143.5,0.8,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,9.0,1.0,20180721114848.0,11077.0,,0.47,0.0
77,,,,,,-5.5,0.87,5.5,0.8,142.5,0.87,142.5,0.8,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,1.0,1.0,20180721114856.0,11077.0,,0.47,0.0
78,,,,,,-5.5,0.87,5.5,0.8,142.5,0.83,142.5,0.83,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,1.0,1.0,20180721114856.0,11077.0,,0.47,0.0
79,,,,,,-5.5,0.87,5.5,0.8,142.5,0.83,142.5,0.83,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,0.0,0.0,20180721114856.0,11077.0,,0.47,0.0
80,,,,,,-5.5,0.87,5.5,0.8,142.5,0.83,142.5,0.83,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,0.0,0.0,20180721114857.0,11077.0,,0.47,0.0
81,,,,,,-5.5,0.87,5.5,0.8,143.5,0.87,142.5,0.8,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,0.0,0.0,20180721114857.0,21086.0,,0.47,0.0
82,,,,,,-5.5,0.87,5.5,0.8,143.5,0.87,143.5,0.8,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.47,,0.0,,0.0,4.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,0.0,0.0,20180721114906.0,21086.0,,0.47,0.0
