,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KI,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
13,,,,第1节,,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.66,1.1
14,,,,第1节,,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,21077.0,0.66,1.1
15,,,,第1节,,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,54.0,0,,21077.0,0.66,1.1
16,,,,第1节,,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
17,,,,第1节,,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,44.0,0,,11077.0,0.66,1.1
18,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,44.0,0,,11077.0,0.66,1.1
19,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,11077.0,0.66,1.1
20,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,11086.0,0.66,1.1
21,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,21077.0,0.66,1.1
22,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,21077.0,0.66,1.1
23,,,,第1节,3.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,3.5,,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,21077.0,0.66,1.1
