,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
17,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,8.0,,,2.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,8.0,1.0,20181012182247.0,11095.0
18,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,8.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,8.0,1.0,20181012182247.0,21077.0
19,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,158.5,0.7692307692307693,158.5,0.9090909090909091,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,1.0,53.0,1.0,20181012182302.0,21077.0
20,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,1.0,45.0,1.0,20181012182310.0,21077.0
21,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,1.0,37.0,1.0,20181012182318.0,21077.0
22,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,46,70.0,0,1,1.0,35.0,1.0,20181012182320.0,11077.0
23,44.0,5.0,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,46,70.0,0,1,1.0,28.0,0.0,20181012182327.0,11077.0
24,44.0,5.0,3.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,8.0,5.0,56.2,61.9,46,70.0,0,1,1.0,28.0,0.0,20181012182340.0,11077.0
25,44.0,5.0,3.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,5.0,,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,9.0,5.0,56.2,61.9,46,70.0,0,1,1.0,28.0,0.0,20181012182340.0,21077.0
26,44.0,5.0,3.0,-26.5,0.8,26.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,5.0,1:2,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,9.0,5.0,56.2,56.5,46,70.0,0,1,1.0,28.0,0.0,20181012182340.0,21078.0
27,44.0,5.0,3.0,-26.5,0.8,26.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,5.0,1:2,,3.0,7,14.0,17.0,9.0,13.0,2.0,3.0,9.0,5.0,56.2,56.5,46,70.0,0,1,1.0,28.0,1.0,20181012182419.0,21078.0
