,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,43.0,1,20181012203344,11077
1,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,132.5,0.7142857142857143,132.5,1.0,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,34.0,1,20181012203353.0,11077
2,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.9090909090909091,131.5,0.7692307692307693,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,33.0,1,20181012203354.0,11095.0
3,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,24.0,1,20181012203403.0,11077.0
4,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.7692307692307693,131.5,0.9090909090909091,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,23.0,0.0,20181012203404.0,11077.0
5,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.7692307692307693,131.5,0.9090909090909091,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,21.0,0.0,20181012203409.0,11077.0
6,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,25.0,1.0,20181012203417.0,11077.0
7,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,24.0,1.0,20181012203417.0,11077.0
8,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,130.5,0.9090909090909091,130.5,0.7692307692307693,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,17.0,1.0,20181012203425.0,11095.0
9,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,130.5,0.8,130.5,0.8695652173913043,,,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,1.0,58.3,53.8,66,46,0,1,5.0,9.0,0.0,20181012203432.0,11095.0
10,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,130.5,0.8,130.5,0.8695652173913043,,^,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,2.0,58.3,53.8,66,46,0,1,5.0,9.0,0.0,20181012203459.0,21086^11077
11,4.0,20.5,0.8695652173913043,-20.5,0.8,131.5,0.7142857142857143,131.5,1.0,,1:1,,6.0,3.0,17.0,15.0,14.0,7.0,3,1,3.0,2.0,58.3,53.8,66,46,0,1,5.0,9.0,0.0,20181012203507.0,11078.0
12,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,11.0,1:1^,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,5.0,9.0,0.0,20181012203514.0,11079^21077
13,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,11.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,5.0,9.0,1.0,20181012203514.0,21077.0
14,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,11.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,5.0,8.0,0.0,20181012203515.0,21077.0
15,4.0,22.5,0.7692307692307693,-22.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,11.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,5.0,8.0,0.0,20181012203524.0,11077.0
16,4.0,22.5,0.7692307692307693,-22.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,11.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,5.0,8.0,1.0,20181012203528.0,11077.0
17,4.0,22.5,0.7692307692307693,-22.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,10.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,4.0,59.0,1.0,20181012203536.0,11077.0
18,4.0,22.5,0.7692307692307693,-22.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,10.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,4.0,57.0,0.0,20181012203539.0,11077.0
19,4.0,22.5,0.7692307692307693,-22.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,10.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,4.0,57.0,1.0,20181012203559.0,11077.0
20,4.0,22.5,0.7142857142857143,-22.5,1.0,131.5,0.8,131.5,0.8695652173913043,10.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,4.0,51.0,1.0,20181012203605.0,11095.0
21,4.0,21.5,0.7142857142857143,-21.5,1.0,131.5,0.8,131.5,0.8695652173913043,10.0,,,6.0,3.0,17.0,15.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,46,0,1,4.0,42.0,1.0,20181012203614.0,21077.0
22,4.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,13.0,^,,6.0,3.0,17.0,16.0,15.0,7.0,3,1,3.0,2.0,60.0,53.8,67,48,0,1,4.0,40.0,1.0,20181012203616.0,21074^11077
