,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
16,,,3.0,7.5,0.8333333333333334,-7.5,0.9090909090909091,232.5,0.8333333333333334,232.5,0.9090909090909091,79.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,43.0,0.0,20181113021501.0,11077.0,2.4,0.3125
17,,,3.0,7.5,0.8333333333333334,-7.5,0.9090909090909091,232.5,0.8333333333333334,232.5,0.9090909090909091,79.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,43.0,1.0,20181113021504.0,11077.0,2.4,0.3125
18,,,3.0,7.5,0.8333333333333334,-7.5,0.9090909090909091,231.5,0.8695652173913043,231.5,0.8695652173913043,78.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,33.0,1.0,20181113021513.0,11077.0,2.4,0.3125
19,,,3.0,7.5,0.8333333333333334,-7.5,0.9090909090909091,231.5,0.8333333333333334,231.5,0.9090909090909091,78.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,31.0,1.0,20181113021517.0,11095.0,2.4,0.3125
20,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,231.5,0.8333333333333334,231.5,0.9090909090909091,78.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,31.0,1.0,20181113021518.0,21077.0,2.4,0.3125
21,,,3.0,6.5,0.8695652173913043,-6.5,0.8695652173913043,230.5,0.9090909090909091,230.5,0.8333333333333334,78.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,24.0,1.0,20181113021524.0,21077.0,2.25,0.3448275862068966
22,,,3.0,6.5,0.8695652173913043,-6.5,0.8695652173913043,230.5,0.8,230.5,0.9523809523809523,78.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,15.0,1.0,20181113021533.0,21077.0,2.25,0.3448275862068966
23,,,3.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,232.5,0.9090909090909091,232.5,0.8333333333333334,78.0,,^,,6.0,10.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,80.0,0,1,1.0,12.0,1.0,20181113021535.0,21075^11077,2.25,0.3448275862068966
24,,,3.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,232.5,0.9090909090909091,232.5,0.8333333333333334,78.0,,^,,6.0,10.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,80.0,0,1,1.0,12.0,1.0,20181113021536.0,21075^11077,2.25,0.3448275862068966
25,,,3.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,232.5,0.8695652173913043,232.5,0.8695652173913043,78.0,,,,6.0,10.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,80.0,0,1,1.0,7.0,1.0,20181113021541.0,11077.0,2.35,0.3225806451612903
26,,,3.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,231.5,0.9090909090909091,231.5,0.8333333333333334,77.0,,,,6.0,10.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,80.0,0,1,0.0,58.0,1.0,20181113021550.0,11077.0,1.9,0.425531914893617
27,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,233.5,0.8695652173913043,233.5,0.8695652173913043,76.0,,,,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,92.0,80.0,0,1,0.0,57.0,1.0,20181113021551.0,21077.0,1.9,0.425531914893617
28,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,233.5,0.8695652173913043,233.5,0.8695652173913043,76.0,,,,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,92.0,80.0,0,1,0.0,55.0,1.0,20181113021552.0,21077.0,1.9,0.425531914893617
29,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,232.5,0.9090909090909091,232.5,0.8333333333333334,76.0,,,,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,92.0,80.0,0,1,0.0,46.0,1.0,20181113021601.0,21077.0,1.9,0.425531914893617
30,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,232.5,0.9090909090909091,232.5,0.8333333333333334,76.0,,,,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,92.0,80.0,0,1,0.0,46.0,0.0,20181113021602.0,21077.0,1.9,0.425531914893617
31,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,232.5,0.9090909090909091,232.5,0.8333333333333334,76.0,,^,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,93.3,92.0,80.0,0,1,0.0,46.0,0.0,20181113021604.0,11086^21077,1.9,0.425531914893617
32,,,3.0,5.5,0.8333333333333334,-5.5,0.9090909090909091,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,1:2,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,93.3,92.0,80.0,0,1,0.0,46.0,0.0,20181113021619.0,21078.0,1.9,0.425531914893617
33,,,3.0,6.5,0.8,-6.5,0.9523809523809523,233.5,0.8695652173913043,233.5,0.8695652173913043,76.0,,1:2^2:2,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,87.5,92.0,80.0,0,1,0.0,46.0,0.0,20181113021624.0,21080^21078,1.9,0.425531914893617
34,,,3.0,6.5,0.9090909090909091,-6.5,0.8333333333333334,232.5,0.9090909090909091,232.5,0.8333333333333334,76.0,,2:2^,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,80.0,0,1,0.0,46.0,1.0,20181113021639.0,21080^11077,2.05,0.4
35,,,3.0,6.5,0.9090909090909091,-6.5,0.8333333333333334,232.5,0.9090909090909091,232.5,0.8333333333333334,76.0,,,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,80.0,0,1,0.0,45.0,1.0,20181113021641.0,11077.0,2.05,0.4
