,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
29,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,2.0,2.0,0.0,1,9.0,GD,14.0,1.0,20180627165043.0,21074.0
30,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,4.0,2.0,0.0,1,9.0,GD,14.0,1.0,20180627165043.0,11077.0
31,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,0.0,20180627165052.0,11077.0
32,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,0.0,20180627165052.0,11077.0
33,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180627165102.0,11077.0
34,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180627165102.0,21077.0
35,,,,第1节,5.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180627165103.0,21077.0
36,,,,第1节,5.5,0.87,-4.5,0.8,147.5,0.83,147.5,0.83,-4.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180627165103.0,21077.0
37,,,,第1节,4.5,0.83,-4.5,0.83,147.5,0.8,147.5,0.87,4.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180627165103.0,21077.0
38,,,,第1节,4.5,0.83,-4.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,4.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180627165103.0,21077.0
39,,,,第1节,4.5,0.83,-4.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,4.0,2.0,0.0,1,8.0,GD,50.0,1.0,20180627165119.0,21077.0
40,,,,第1节,4.5,0.83,-4.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,4.0,2.0,0.0,1,8.0,GD,50.0,1.0,20180627165119.0,21077.0
41,,,,第1节,4.5,0.83,-4.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,4.0,2.0,0.0,1,8.0,GD,49.0,1.0,20180627165120.0,21077.0
42,,,,第1节,4.5,0.87,-4.5,0.8,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,49.0,1.0,20180627165120.0,11077.0
43,,,,第1节,4.5,0.87,-4.5,0.8,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,35.0,1.0,20180627165134.0,11077.0
44,,,,第1节,4.5,0.87,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,35.0,1.0,20180627165134.0,21077.0
45,,,,第1节,4.5,0.87,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,34.0,1.0,20180627165134.0,21077.0
46,,,,第1节,4.5,0.83,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,34.0,1.0,20180627165137.0,21077.0
47,,,,第1节,4.5,0.83,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,31.0,1.0,20180627165137.0,21077.0
48,,,,第1节,4.5,0.83,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,4.0,2.0,0.0,1,8.0,GD,31.0,1.0,20180627165137.0,21074.0
49,,,,第1节,4.5,0.83,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,6.0,2.0,0.0,1,8.0,GD,31.0,1.0,20180627165137.0,11077.0
50,,,,第1节,4.5,0.83,-3.5,0.83,144.5,0.83,144.5,0.83,-3.5,1.0,,6.0,2.0,0.0,1,8.0,GD,31.0,1.0,20180627165137.0,11077.0
51,,,,第1节,3.5,0.83,-3.5,0.83,144.5,0.83,146.5,0.8,3.5,1.0,,6.0,2.0,0.0,1,8.0,GD,31.0,1.0,20180627165137.0,11077.0
52,,,,第1节,3.5,0.83,-3.5,0.83,146.5,0.87,146.5,0.8,146.5,1.0,,6.0,2.0,0.0,1,8.0,GD,31.0,1.0,20180627165137.0,11077.0
