,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
21,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,1:2^2:2,81.0,84.0,0,1,4.0,19.0,0.0,20181107150732.0,21079^21078
22,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,2:2^,81.0,85.0,0,1,4.0,19.0,0.0,20181107150746.0,21079^11077
23,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,2:2^,81.0,85.0,0,1,4.0,19.0,1.0,20181107150750.0,21079^11077
24,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,2:2^,81.0,85.0,0,1,4.0,18.0,1.0,20181107150751.0,21079^11077
25,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,,81.0,85.0,0,1,4.0,18.0,1.0,20181107150752.0,11077.0
26,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,,81.0,85.0,0,1,4.0,9.0,1.0,20181107150800.0,11077.0
27,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,,81.0,85.0,0,1,4.0,1.0,1.0,20181107150808.0,11077.0
28,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,,81.0,85.0,0,1,4.0,2.0,1.0,20181107150808.0,21077.0
29,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,,81.0,85.0,0,1,4.0,1.0,1.0,20181107150809.0,21077.0
30,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,,81.0,85.0,0,1,3.0,53.0,1.0,20181107150817.0,21077.0
31,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,^,81.0,87.0,0,1,3.0,47.0,1.0,20181107150823.0,21074^11077
32,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,47.0,1.0,20181107150823.0,11077.0
33,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,32.0,0.0,20181107150837.0,11077.0
34,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,32.0,1.0,20181107150850.0,11077.0
