,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
13,,,4.0,9.5,0.8,-9.5,0.8695652173913043,175.5,0.8333333333333334,175.5,0.8333333333333334,,1:2,1.0,6,,19.0,,16.0,3.0,1.0,4.0,5.0,,,,,0,1,5.0,2.0,0.0,20180924173758.0,11078.0,7.75,0.044444444444444446
14,,,4.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,175.5,0.9090909090909091,175.5,0.7692307692307693,,1:2^2:2,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,5.0,2.0,0.0,20180924173824.0,11079^11078,8.0,0.04
15,,,4.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,175.5,0.9090909090909091,175.5,0.7692307692307693,,,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,5.0,2.0,1.0,20180924173824.0,21077.0,8.0,0.04
16,,,4.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,175.5,0.9090909090909091,175.5,0.7692307692307693,,,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,5.0,2.0,0.0,20180924173837.0,21077.0,8.0,0.04
17,,,4.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,175.5,0.9090909090909091,175.5,0.7692307692307693,,,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,5.0,2.0,1.0,20180924173839.0,21077.0,8.0,0.04
18,,,4.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,4.0,53.0,1.0,20180924173847.0,21077.0,9.0,0.030303030303030304
19,,,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,175.5,0.7692307692307693,175.5,0.9090909090909091,,,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,4.0,49.0,1.0,20180924173852.0,11077.0,10.0,0.02
20,,,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,175.5,0.7692307692307693,175.5,0.9090909090909091,,,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,5.0,81.2,,82.0,72.0,0,1,4.0,48.0,0.0,20180924173853.0,11077.0,10.0,0.02
21,,,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,175.5,0.7692307692307693,175.5,0.9090909090909091,,^,1.0,6,,19.0,26.0,16.0,3.0,1.0,4.0,6.0,81.2,,82.0,72.0,0,1,4.0,48.0,0.0,20180924173902.0,21086^11077,10.0,0.02
22,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,176.5,0.8333333333333334,176.5,0.8333333333333334,,1:2,1.0,6,,19.0,28.0,16.0,3.0,1.0,4.0,6.0,82.4,,82.0,72.0,0,1,4.0,48.0,0.0,20180924173902.0,11078.0,10.0,0.02
