,ED,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,9,5,17,19,5,8,2,0,4,3,62.5,40.0,65,64,0,1,0,0,0,20180914165751,11075^21077
1,,,9,5,17,19,5,8,2,0,4,3,62.5,40.0,65,66,0,1,0,0,0,20180914165751,11075^21077
2,,,9,5,17,19,5,8,2,0,4,3,62.5,40.0,65,66,0,1,0,0,0,20180914165942.0,11075^21077
3,,,9,5,17,19,5,8,2,0,4,3,62.5,40.0,65,66,0,1,0,0,0,20180914165942.0,1084.0
