,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,55.0,0,20181018022931,21077
1,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,54.0,0,20181018022936.0,21077
2,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,1.0,18.0,0,20181018022940.0,21077
3,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,1.0,18.0,1.0,20181018022947.0,21077
4,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,1.0,9.0,1.0,20181018022956.0,21077
5,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,1.0,1.0,1.0,20181018023004.0,21077
6,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,53.0,1.0,20181018023012.0,21094.0
7,,,4.0,-3.5,0.0,3.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,44.0,1.0,20181018023021.0,11077.0
8,,,4.0,-3.5,0.0,3.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,38.0,1.0,20181018023027.0,11094.0
9,,,4.0,-3.5,0.0,3.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,34.0,0.0,20181018023031.0,11077.0
10,,,4.0,-3.5,0.0,3.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,34.0,0.0,20181018023034.0,11095.0
11,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,34.0,0.0,20181018023040.0,21077.0
12,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,34.0,0.0,20181018023046.0,21077.0
13,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,33.0,0.0,20181018023138.0,21077.0
14,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,35.0,0.0,20181018023143.0,21077.0
15,44.0,5.0,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,35.0,0.0,20181018023145.0,21081.0
16,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,35.0,0.0,20181018023250.0,21077.0
17,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,35.0,1.0,20181018023314.0,21077.0
18,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,34.0,1.0,20181018023315.0,21077.0
19,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,30.0,0.0,20181018023319.0,21077.0
20,,,4.0,-4.5,0.0,4.5,0.0,,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,30.0,1.0,20181018023347.0,21077.0
21,,,4.0,-4.5,0.0,4.5,0.0,1.0,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,23.0,0.0,20181018023354.0,21077.0
22,,,4.0,-3.5,0.0,3.5,0.0,2.0,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,23.0,0.0,20181018023457.0,11077.0
23,,,4.0,-3.5,0.0,3.5,0.0,2.0,,9,7,,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,97,101,0,1,0.0,23.0,1.0,20181018023459.0,11077.0
24,,,4.0,-2.5,0.0,2.5,0.0,2.0,^,9,7,29.0,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,99,101,0,1,0.0,22.0,1.0,20181018023500.0,11074^21077
25,,,4.0,-2.5,0.0,2.5,0.0,2.0,,9,7,29.0,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,99,101,0,1,0.0,21.0,1.0,20181018023501.0,21077.0
26,,,4.0,-2.5,0.0,2.5,0.0,2.0,,9,7,29.0,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,99,101,0,1,0.0,16.0,0.0,20181018023506.0,21077.0
27,,,4.0,-2.5,0.0,2.5,0.0,2.0,,9,7,29.0,28,32,,13,16,1.0,1,2,,5,4,,72.2,66.7,99,101,0,1,0.0,16.0,1.0,20181018023511.0,21077.0
