,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,150.5,0.8695652173913043,150.5,0.8,,,,,,0,1,4.0,12.0,0,20180913152837,21081,1.55,0.47619047619047616,
1,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,150.5,0.8695652173913043,150.5,0.8,,,,,,0,1,4.0,12.0,0,20180913152911.0,21081,1.55,0.47619047619047616,
2,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,150.5,0.8695652173913043,150.5,0.8,,,,,,0,1,4.0,12.0,1.0,20180913153012.0,21077.0,1.55,0.47619047619047616,
3,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,,,0,1,4.0,8.0,1.0,20180913153015.0,21077.0,1.55,0.47619047619047616,
4,,,,3.5,0.8,-3.5,0.8695652173913043,150.5,0.8333333333333334,149.5,0.7692307692307693,,0.3333333333333333,,,,0,1,4.0,1.0,1.0,20180913153017.0,11077.0,1.55,0.47619047619047616,
5,,,,3.5,0.8,-3.5,0.8695652173913043,150.5,0.8,149.5,0.8695652173913043,,0.3333333333333333,,,,0,1,3.0,52.0,1.0,20180913153025.0,11077.0,1.55,0.47619047619047616,
6,,,,3.5,0.8,-3.5,0.8695652173913043,150.5,0.7142857142857143,149.5,1.0,,0.3333333333333333,,,,0,1,3.0,49.0,0.0,20180913153028.0,11077.0,1.55,0.47619047619047616,
7,,,,3.5,0.8,-3.5,0.8695652173913043,150.5,0.7142857142857143,151.5,0.9090909090909091,,0.23529411764705882,^,70.0,65.0,0,1,3.0,49.0,0.0,20180913153043.0,11074^21077,1.55,0.47619047619047616,"0.84,0.41^"
8,,,,3.5,0.8,-3.5,0.8695652173913043,150.5,0.7142857142857143,151.5,1.0,,0.16666666666666666,^,70.0,65.0,0,1,3.0,49.0,0.0,20180913153044.0,21086^11077,1.55,0.47619047619047616,^
9,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,150.5,0.7142857142857143,151.5,0.8,,0.18181818181818182,1:1,70.0,65.0,0,1,3.0,49.0,0.0,20180913153045.0,11078.0,1.55,0.47619047619047616,
10,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,150.5,0.7142857142857143,152.5,0.9090909090909091,,0.16666666666666666,1:1^,71.0,65.0,0,1,3.0,49.0,0.0,20180913153123.0,11079^21077,1.55,0.47619047619047616,^
11,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,150.5,0.7142857142857143,152.5,0.9090909090909091,,0.16666666666666666,,71.0,65.0,0,1,3.0,49.0,1.0,20180913153123.0,21077.0,1.55,0.47619047619047616,
12,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,150.5,0.7142857142857143,152.5,0.9090909090909091,,0.16666666666666666,,71.0,65.0,0,1,3.0,49.0,0.0,20180913153123.0,21077.0,1.55,0.47619047619047616,
13,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,150.5,0.7142857142857143,152.5,0.9090909090909091,,0.16666666666666666,,71.0,65.0,0,1,3.0,49.0,1.0,20180913153129.0,21077.0,1.55,0.47619047619047616,
14,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,151.5,0.8333333333333334,151.5,0.8333333333333334,,0.16666666666666666,,71.0,65.0,0,1,3.0,40.0,1.0,20180913153137.0,21077.0,1.55,0.47619047619047616,
15,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,151.5,0.8333333333333334,151.5,0.9090909090909091,,0.15384615384615385,,71.0,65.0,0,1,3.0,37.0,0.0,20180913153141.0,21077.0,1.55,0.47619047619047616,
16,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,151.5,0.8333333333333334,151.5,0.9090909090909091,,0.15384615384615385,^,71.0,65.0,0,1,3.0,37.0,0.0,20180913153142.0,11086^21077,1.55,0.47619047619047616,^
17,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,151.5,0.8333333333333334,151.5,0.9090909090909091,,0.15384615384615385,^,71.0,65.0,0,1,3.0,37.0,1.0,20180913153220.0,11086^21077,1.55,0.47619047619047616,^
18,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,151.5,0.7142857142857143,151.5,1.0,,0.15384615384615385,^,71.0,65.0,0,1,3.0,35.0,0.0,20180913153222.0,11086^21077,1.55,0.47619047619047616,^
19,,,,4.5,0.9090909090909091,-4.5,0.7692307692307693,151.5,0.7142857142857143,151.5,1.0,,0.15384615384615385,^,71.0,65.0,0,1,3.0,35.0,0.0,20180913153226.0,11086^21077,1.55,0.47619047619047616,^
