,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,124.5,0.8333333333333334,124.5,0.8333333333333334,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,10.0,0.0,0,20181020103453,01083,10.0,0.02
1,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,124.5,0.8333333333333334,124.5,0.8333333333333334,,,^,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,10.0,0.0,1.0,20181020104957.0,01089^21077,10.0,0.02
2,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,123.5,0.8695652173913043,123.5,0.8,,,^,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,51.0,1.0,20181020105005.0,01089^21077,10.0,0.02
3,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,123.5,0.8333333333333334,123.5,0.8333333333333334,,,^,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,45.0,0.0,20181020105011.0,01089^21077,10.0,0.02
4,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,123.5,0.8333333333333334,123.5,0.8333333333333334,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,45.0,0.0,20181020105014.0,21077.0,10.0,0.02
5,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,123.5,0.8333333333333334,123.5,0.8333333333333334,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,45.0,0.0,20181020105017.0,11077.0,10.0,0.02
6,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,123.5,0.8333333333333334,123.5,0.8333333333333334,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,45.0,1.0,20181020105020.0,11077.0,10.0,0.02
7,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,122.5,0.8695652173913043,122.5,0.8,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,36.0,1.0,20181020105028.0,11077.0,10.0,0.02
8,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,122.5,0.8333333333333334,122.5,0.8333333333333334,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,28.0,1.0,20181020105036.0,11077.0,10.0,0.02
9,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,122.5,0.8333333333333334,122.5,0.8333333333333334,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,27.0,1.0,20181020105038.0,11094.0,10.0,0.02
10,,3.0,17.5,0.8,-17.5,0.8695652173913043,121.5,0.8695652173913043,121.5,0.8,,,,,2,1.0,10.0,8.0,10.0,5,5,5,0.0,0.0,71.4,83.3,36.0,23.0,0,1,9.0,21.0,1.0,20181020105043.0,21077.0,10.0,0.02
