,AM,AS,CP,ED,FS,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SD,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,1.0,,5.5,0.8333333333333334,-5.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20181103001157,,1.65,0.43478260869565216
1,,,,1.0,,5.5,0.8333333333333334,-5.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20181103002522.0,,1.65,0.43478260869565216
2,,,,1.0,,5.5,0.8333333333333334,-5.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,0,1,10.0,0.0,0,20181103002522.0,,1.65,0.43478260869565216
3,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,10.0,0.0,1.0,20181103002522.0,,1.65,0.43478260869565216
4,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,9.0,51.0,1.0,20181103003241.0,,1.65,0.43478260869565216
5,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,9.0,43.0,1.0,20181103003250.0,,1.65,0.43478260869565216
6,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,150.5,0.8,150.5,0.8695652173913043,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,9.0,42.0,1.0,20181103003251.0,21094.0,1.65,0.43478260869565216
7,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,150.5,0.8,150.5,0.8695652173913043,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,9.0,42.0,1.0,20181103003251.0,11077.0,1.65,0.43478260869565216
8,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,150.5,0.8,150.5,0.8695652173913043,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,9.0,38.0,1.0,20181103003255.0,11077.0,1.65,0.43478260869565216
9,,,,1.0,1.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,150.5,0.8,150.5,0.8695652173913043,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0,1,9.0,30.0,0.0,20181103003303.0,11077.0,1.65,0.43478260869565216
