,ED,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,3,6,30,22,4,17,0,2,9,4,44.4,73.9,73,79,0,1,0,0,0,20181026162123,21077
1,,3,6,30,22,4,17,0,2,9,4,44.4,73.9,73,79,0,1,0,0,0,20181026162123,1084.0
