,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
0,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,
1,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,1087.0
2,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,,,1.0,1,10.0,GD,0.0,0,,21077.0
3,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,,,1.0,1,9.0,GD,57.0,0,,11077.0
4,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,57.0,0,,11077.0
5,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,46.0,0,,21077.0
6,,,,第1节,41.5,0.83,-41.5,0.83,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,46.0,0,,11074.0
7,,,,第1节,41.5,0.83,-41.5,0.83,141.5,0.83,141.5,0.83,,1.0,,,,,,,,,,,,,,,0.0,2.0,0.0,1,9.0,GD,46.0,0,,21077.0
8,,,,第1节,41.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,-43.5,1.0,,,,,,,,,,,,,,,0.0,2.0,0.0,1,9.0,GD,46.0,0,,21077.0
9,,,,第1节,43.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,43.5,1.0,,,,,,,,,,,,,,,0.0,2.0,0.0,1,9.0,GD,37.0,0,,21077.0
10,,,,第1节,43.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,43.5,1.0,,,,,,,,,,,,,,,0.0,2.0,0.0,1,9.0,GD,37.0,0,,21077.0
11,,,,第1节,43.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,43.5,1.0,,,,,,,,,,,,,,,0.0,2.0,0.0,1,9.0,GD,30.0,0,,21077.0
12,,,,第1节,43.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,43.5,1.0,,,,,,,,,,,,,,,0.0,2.0,0.0,1,9.0,GD,30.0,0,,21075.0
13,,,,第1节,43.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,43.5,1.0,,,,,,,,,,,,,,,3.0,2.0,0.0,1,9.0,GD,30.0,0,,11077.0
14,,,,第1节,43.5,0.83,-43.5,0.83,141.5,0.83,141.5,0.83,43.5,1.0,,,,,,,,,,,,,,,3.0,2.0,0.0,1,9.0,GD,23.0,0,,11077.0
15,,,,第1节,43.5,0.83,-40.5,0.83,141.5,0.83,141.5,0.83,-40.5,1.0,,,,,,,,,,,,,,,3.0,2.0,0.0,1,9.0,GD,23.0,0,,11077.0
16,,,,第1节,40.5,0.83,-40.5,0.83,141.5,0.83,141.5,0.83,40.5,1.0,,,,,,,,,,,,,,,3.0,2.0,0.0,1,9.0,GD,23.0,0,,11074.0
17,,,,第1节,40.5,0.83,-40.5,0.83,141.5,0.83,141.5,0.83,40.5,1.0,,,,,,,,,,,,,,,3.0,4.0,0.0,1,9.0,GD,23.0,0,,21077.0
18,,,,第1节,40.5,0.83,-40.5,0.83,141.5,0.83,141.5,0.83,40.5,1.0,,,,,,,,,,,,,,,3.0,4.0,0.0,1,9.0,GD,13.0,0,,21077.0
19,,,,第1节,40.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,-41.5,1.0,,,,,,,,,,,,,,,3.0,4.0,0.0,1,9.0,GD,13.0,0,,21077.0
20,,,,第1节,41.5,0.87,-41.5,0.8,141.5,0.83,141.5,0.83,41.5,1.0,,,,,,,,,,,,,,,3.0,4.0,0.0,1,9.0,GD,0.0,0,,21077.0
