,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
28,44.0,5.0,,-8.5,0.0,8.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,2.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,23.0,0.0,20180916154112.0,11081.0
29,44.0,5.0,,-8.5,0.0,8.5,0.0,1.0,^,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,23.0,0.0,20180916154113.0,11077^11081
30,,,,-8.5,0.0,8.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,23.0,1.0,20180916154240.0,11077.0
31,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,18.0,1.0,20180916154245.0,21077.0
32,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,9.0,1.0,20180916154253.0,21077.0
33,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,1.0,1.0,20180916154301.0,21077.0
34,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,0.0,0.0,20180916154304.0,21077.0
35,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,0.0,0.0,20180916154306.0,21077.0
36,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,0.0,0.0,20180916154306.0,1084.0
37,,,,-9.5,0.0,9.5,0.0,1.0,,1.0,10.0,9,10,19.0,14,18,12,11,1.0,3,2,4.0,3,7,63.2,64.7,70,79,0,1,0.0,0.0,0.0,20180916154310.0,1084.0
