,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,KI,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
14,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,5.0,0,20181110020808.0,21077.0,1.1,0.6666666666666666
15,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,135.5,0.8,135.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,3.0,0.0,20181110020809.0,21077.0,1.1,0.6666666666666666
16,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,135.5,0.8,135.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,3.0,1.0,20181110020819.0,21077.0,1.1,0.6666666666666666
17,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,132.5,0.8333333333333334,132.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,54.0,1.0,20181110020828.0,21077.0,1.1,0.6666666666666666
18,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,45.0,1.0,20181110020837.0,21077.0,1.1,0.6666666666666666
19,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,43.0,1.0,20181110020839.0,21095.0,1.1,0.6666666666666666
20,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,43.0,1.0,20181110020840.0,11077.0,1.1,0.6666666666666666
21,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,40.0,1.0,20181110020842.0,21077.0,1.1,0.6666666666666666
22,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,38.0,0.0,20181110020845.0,21077.0,1.1,0.6666666666666666
23,,,,1.0,2.5,0.8,-2.5,0.8695652173913043,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,^,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,38.0,0.0,20181110020854.0,11086^21077,1.1,0.6666666666666666
24,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,1:2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,38.0,0.0,20181110020856.0,21078.0,1.1,0.6666666666666666
25,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,1:2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,38.0,0.0,20181110020902.0,21078.0,1.0,0.7142857142857143
26,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,1:2^2:2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,38.0,0.0,20181110020902.0,21080^21078,1.0,0.7142857142857143
27,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,1:2^2:2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,37.0,0.0,20181110020914.0,21080^21078,1.0,0.7142857142857143
28,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,37.0,0.0,20181110020919.0,11077.0,1.0,0.7142857142857143
29,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,37.0,0.0,20181110020920.0,11077.0,1.0,0.7142857142857143
30,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,37.0,1.0,20181110020920.0,11077.0,1.0,0.7142857142857143
31,,,,1.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,130.5,0.8695652173913043,130.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1,8.0,28.0,1.0,20181110020929.0,11077.0,1.0,0.7142857142857143
32,,,,1.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,134.5,0.8,134.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,^,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,8.0,22.0,1.0,20181110020935.0,11075^21077,1.4,0.5263157894736842
33,,,,1.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,133.5,0.8333333333333334,133.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,8.0,13.0,1.0,20181110020944.0,21077.0,1.4,0.5263157894736842
34,,,,1.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,133.5,0.8,133.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,8.0,7.0,0.0,20181110020950.0,21077.0,1.4,0.5263157894736842
35,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,133.5,0.8,133.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,8.0,7.0,0.0,20181110020953.0,11077.0,1.5,0.5
36,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,133.5,0.8,133.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,8.0,7.0,1.0,20181110020957.0,11077.0,1.5,0.5
37,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,132.5,0.8333333333333334,132.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,58.0,1.0,20181110021006.0,11077.0,1.5,0.5
38,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,51.0,1.0,20181110021013.0,11094.0,1.5,0.5
39,,,,1.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,113.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,51.0,1.0,20181110021014.0,21077.0,1.4,0.5263157894736842
40,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,43.0,1.0,20181110021021.0,11077.0,1.5,0.5
41,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,34.0,1.0,20181110021029.0,11077.0,1.5,0.5
42,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,25.0,1.0,20181110021038.0,11077.0,1.5,0.5
43,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,129.5,0.8333333333333334,129.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,16.0,1.0,20181110021047.0,11077.0,1.5,0.5
44,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,129.5,0.8333333333333334,129.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,7.0,13.0,1.0,20181110021051.0,11094.0,1.5,0.5
45,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,111.0,,^,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,7.0,0.0,0,1,7.0,10.0,1.0,20181110021054.0,11074^21077,1.65,0.43478260869565216
46,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,111.0,,^,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,7.0,0.0,0,1,7.0,10.0,1.0,20181110021055.0,11074^21077,1.65,0.43478260869565216
