,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
62,,,,第1节,9.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,-7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,9.0,GD,24.0,0,,11077.0,0.0,0.0,
63,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,9.0,GD,24.0,0,,11095.0,0.0,0.0,"0.90,0.52"
64,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,9.0,GD,1.0,0,,21077.0,0.0,0.0,
65,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,8.0,GD,1.0,0,,21077.0,0.0,0.0,
66,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,8.0,GD,50.0,0,,21077.0,0.0,0.0,
67,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,8.0,GD,50.0,0,,11077.0,0.0,0.0,
68,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,8.0,GD,50.0,0,,11094.0,0.0,0.0,"0.68,0.45"
69,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,8.0,GD,37.0,0,,21077.0,0.0,0.0,
70,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,,1,8.0,GD,37.0,0,,21074.0,0.0,0.0,"0.21,0.47"
71,,,,第1节,7.5,0.83,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,8.0,GD,16.0,0,,11077.0,0.0,0.0,
72,,,,第1节,7.5,0.8,-6.5,0.87,147.5,0.83,147.5,0.83,-6.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,8.0,GD,16.0,0,,11077.0,0.0,0.0,
