,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-3.5,0.0,3.5,0.0,,,13,7,29,35,,14,26,1,0,,7,2,,93.3,81.2,113,117,0,1,0,38.0,0,20181013033229,11077
1,4.0,-3.5,0.0,3.5,0.0,,,13,7,29,35,,14,26,1,0,,7,2,,93.3,81.2,113,117,0,1,0,38.0,1.0,20181013033311.0,11077
2,4.0,-3.5,0.0,3.5,0.0,2.0,,13,7,29,35,,14,26,1,0,,7,2,,93.3,81.2,113,117,0,1,0,29.0,1.0,20181013033319.0,11077
3,4.0,-3.5,0.0,3.5,0.0,2.0,,13,7,29,35,,14,26,1,0,,7,2,,93.3,81.2,113,117,0,1,0,27.0,1.0,20181013033321.0,11094.0
4,4.0,-4.5,0.0,4.5,0.0,2.0,,13,7,29,35,,14,26,1,0,,7,2,,93.3,81.2,113,117,0,1,0,27.0,1.0,20181013033322.0,11094.0
5,4.0,-4.5,0.0,4.5,0.0,1.0,,13,7,29,35,,14,26,1,0,,7,2,,93.3,81.2,113,117,0,1,0,22.0,0.0,20181013033326.0,21077.0
6,4.0,-4.5,0.0,4.5,0.0,1.0,^,13,7,29,35,,14,26,1,0,8.0,7,2,,93.3,81.2,113,117,0,1,0,22.0,0.0,20181013033331.0,11086^21077
7,4.0,-5.5,0.0,5.5,0.0,2.0,1:2,13,7,29,35,,14,26,1,0,8.0,7,2,,93.3,81.2,113,117,0,1,0,20.0,0.0,20181013033337.0,21078.0
8,4.0,-5.5,0.0,5.5,0.0,2.0,1:2^2:2,13,7,29,35,27.0,14,26,1,0,8.0,7,2,81.8,93.3,81.2,113,118,0,1,0,24.0,0.0,20181013033349.0,21079^21078
9,4.0,-5.5,0.0,5.5,0.0,1.0,2:2^,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,24.0,0.0,20181013033400.0,21079^11077
10,4.0,-5.5,0.0,5.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,24.0,0.0,20181013033402.0,11077.0
11,4.0,-5.5,0.0,5.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,24.0,1.0,20181013033406.0,11077.0
12,4.0,-5.5,0.0,5.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,17.0,1.0,20181013033413.0,11094.0
13,4.0,-6.5,0.0,6.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,17.0,1.0,20181013033414.0,21077.0
14,4.0,-6.5,0.0,6.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,8.0,1.0,20181013033422.0,21077.0
15,4.0,-6.5,0.0,6.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,0.0,1.0,20181013033431.0,21077.0
16,4.0,-6.5,0.0,6.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,0.0,0.0,20181013033432.0,21077.0
17,4.0,-6.5,0.0,6.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,0.0,0.0,20181013033437.0,21077.0
18,4.0,-6.5,0.0,6.5,0.0,1.0,,13,7,29,35,28.0,14,26,1,0,8.0,7,2,82.4,93.3,81.2,113,119,0,1,0,0.0,0.0,20181013033437.0,1084.0
