,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
16,,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,51.0,1.0,20181028143324.0,11077.0,0.16666666666666666,3.5
17,,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,50.0,1.0,20181028143325.0,11077.0,0.16666666666666666,3.5
18,,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,183.5,0.8695652173913043,183.5,0.8,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,41.0,1.0,20181028143333.0,11077.0,0.16666666666666666,3.5
19,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,183.5,0.8333333333333334,183.5,0.8333333333333334,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,36.0,1.0,20181028143339.0,21077.0,0.14285714285714285,4.0
20,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,186.5,0.8,186.5,0.8695652173913043,32.0,,^,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,28.0,1.0,20181028143347.0,21075^11077,0.09090909090909091,5.75
21,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,186.5,0.8,186.5,0.8695652173913043,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,27.0,1.0,20181028143347.0,11077.0,0.09090909090909091,5.75
22,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,186.5,0.8,186.5,0.8695652173913043,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,26.0,1.0,20181028143348.0,11077.0,0.09090909090909091,5.75
23,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,185.5,0.8333333333333334,185.5,0.8333333333333334,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,18.0,1.0,20181028143356.0,11077.0,0.09090909090909091,5.75
24,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,12.0,0.0,20181028143402.0,11077.0,0.09090909090909091,5.75
25,44.0,5.0,,2.0,-12.5,0.8695652173913043,12.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,13.0,0.0,20181028143407.0,11081.0,0.09090909090909091,5.75
26,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,13.0,1.0,20181028143542.0,11077.0,0.09090909090909091,5.75
27,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,12.0,1.0,20181028143543.0,21077.0,0.08333333333333333,6.0
28,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,183.5,0.8695652173913043,183.5,0.8,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,3.0,1.0,20181028143551.0,21077.0,0.08333333333333333,6.0
29,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,184.5,0.8,184.5,0.8695652173913043,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,6.0,1.0,20181028143559.0,11077.0,0.09090909090909091,5.75
30,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,184.5,0.8,184.5,0.8695652173913043,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,5.0,1.0,20181028143559.0,11077.0,0.09090909090909091,5.75
