,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,143.5,1.0,143.5,0.7142857142857143,,,,7.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,73,58,0,1,3.0,31.0,1,20181105123613,11077
1,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,7.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,73,58,0,1,3.0,22.0,1,20181105123621.0,11077
2,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,,^,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,3.0,21.0,1,20181105123623.0,11075^21077
3,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,146.5,0.7142857142857143,146.5,1.0,,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,3.0,16.0,1,20181105123628.0,21077.0
4,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,3.0,12.0,0.0,20181105123631.0,21077.0
5,4.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,3.0,12.0,0.0,20181105123646.0,21077.0
6,4.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,3.0,12.0,1.0,20181105123648.0,11077.0
7,4.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,145.5,0.8,145.5,0.8695652173913043,,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,3.0,3.0,1.0,20181105123656.0,11077.0
8,4.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,145.5,0.8,145.5,0.8695652173913043,3.0,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,2.0,55.0,1.0,20181105123704.0,11077.0
9,4.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,145.5,0.8,145.5,0.8695652173913043,3.0,,,8.0,5,22,15.0,8,13.0,1,4,3.0,3.0,61.5,76.5,76,58,0,1,2.0,53.0,0.0,20181105123706.0,11077.0
